edge/0/lane/_id,edge/0/lane/_sampledSeconds,edge/0/lane/_departed,edge/0/lane/_arrived,edge/0/lane/_entered,edge/0/lane/_left,edge/0/lane/_laneChangedFrom,edge/0/lane/_laneChangedTo,edge/0/_id,_begin,_end,_id,edge/1/lane/_id,edge/1/lane/_sampledSeconds,edge/1/lane/_traveltime,edge/1/lane/_overlapTraveltime,edge/1/lane/_density,edge/1/lane/_laneDensity,edge/1/lane/_occupancy,edge/1/lane/_waitingTime,edge/1/lane/_timeLoss,edge/1/lane/_speed,edge/1/lane/_departed,edge/1/lane/_arrived,edge/1/lane/_entered,edge/1/lane/_left,edge/1/lane/_laneChangedFrom,edge/1/lane/_laneChangedTo,edge/1/_id,edge/0/lane/_traveltime,edge/0/lane/_overlapTraveltime,edge/0/lane/_density,edge/0/lane/_laneDensity,edge/0/lane/_occupancy,edge/0/lane/_waitingTime,edge/0/lane/_timeLoss,edge/0/lane/_speed,edge/2/lane/_id,edge/2/lane/_sampledSeconds,edge/2/lane/_traveltime,edge/2/lane/_overlapTraveltime,edge/2/lane/_density,edge/2/lane/_laneDensity,edge/2/lane/_occupancy,edge/2/lane/_waitingTime,edge/2/lane/_timeLoss,edge/2/lane/_speed,edge/2/lane/_departed,edge/2/lane/_arrived,edge/2/lane/_entered,edge/2/lane/_left,edge/2/lane/_laneChangedFrom,edge/2/lane/_laneChangedTo,edge/2/_id,edge/3/lane/_id,edge/3/lane/_sampledSeconds,edge/3/lane/_departed,edge/3/lane/_arrived,edge/3/lane/_entered,edge/3/lane/_left,edge/3/lane/_laneChangedFrom,edge/3/lane/_laneChangedTo,edge/3/_id,edge/3/lane/_traveltime,edge/3/lane/_overlapTraveltime,edge/3/lane/_density,edge/3/lane/_laneDensity,edge/3/lane/_occupancy,edge/3/lane/_waitingTime,edge/3/lane/_timeLoss,edge/3/lane/_speed,edge/4/lane/_id,edge/4/lane/_sampledSeconds,edge/4/lane/_traveltime,edge/4/lane/_overlapTraveltime,edge/4/lane/_density,edge/4/lane/_laneDensity,edge/4/lane/_occupancy,edge/4/lane/_waitingTime,edge/4/lane/_timeLoss,edge/4/lane/_speed,edge/4/lane/_departed,edge/4/lane/_arrived,edge/4/lane/_entered,edge/4/lane/_left,edge/4/lane/_laneChangedFrom,edge/4/lane/_laneChangedTo,edge/4/_id,edge/5/lane/_id,edge/5/lane/_sampledSeconds,edge/5/lane/_traveltime,edge/5/lane/_overlapTraveltime,edge/5/lane/_density,edge/5/lane/_laneDensity,edge/5/lane/_occupancy,edge/5/lane/_waitingTime,edge/5/lane/_timeLoss,edge/5/lane/_speed,edge/5/lane/_departed,edge/5/lane/_arrived,edge/5/lane/_entered,edge/5/lane/_left,edge/5/lane/_laneChangedFrom,edge/5/lane/_laneChangedTo,edge/5/_id,edge/6/lane/_id,edge/6/lane/_sampledSeconds,edge/6/lane/_traveltime,edge/6/lane/_overlapTraveltime,edge/6/lane/_density,edge/6/lane/_laneDensity,edge/6/lane/_occupancy,edge/6/lane/_waitingTime,edge/6/lane/_timeLoss,edge/6/lane/_speed,edge/6/lane/_departed,edge/6/lane/_arrived,edge/6/lane/_entered,edge/6/lane/_left,edge/6/lane/_laneChangedFrom,edge/6/lane/_laneChangedTo,edge/6/_id,edge/7/lane/_id,edge/7/lane/_sampledSeconds,edge/7/lane/_traveltime,edge/7/lane/_overlapTraveltime,edge/7/lane/_density,edge/7/lane/_laneDensity,edge/7/lane/_occupancy,edge/7/lane/_waitingTime,edge/7/lane/_timeLoss,edge/7/lane/_speed,edge/7/lane/_departed,edge/7/lane/_arrived,edge/7/lane/_entered,edge/7/lane/_left,edge/7/lane/_laneChangedFrom,edge/7/lane/_laneChangedTo,edge/7/_id
-gneE5_0,0.00,1,0,0,0,0,0,-gneE5,0.00,1.00,int_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE3_0,0.00,1,0,0,0,0,0,-gneE3,1.00,2.00,int_1,-gneE5_0,1.00,123.93,126.48,4.12,4.12,2.06,0.00,0.87,1.96,0,0,0,0,0,0,-gneE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE3_0,1.00,0,0,0,0,0,0,-gneE3,2.00,3.00,int_2,-gneE5_0,1.00,54.64,55.77,4.12,4.12,2.06,0.00,0.70,4.44,0,0,0,0,0,0,-gneE5,120.50,122.98,4.12,4.12,2.06,0.00,0.85,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE3_0,1.00,0,0,0,0,0,0,-gneE3,3.00,4.00,int_3,-gneE5_0,1.00,41.68,42.54,4.12,4.12,2.06,0.00,0.60,5.83,0,0,0,0,0,0,-gneE5,63.26,64.57,4.12,4.12,2.06,0.00,0.71,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE3_0,1.00,1,0,0,0,0,0,-gneE3,4.00,5.00,int_4,-gneE5_0,1.00,29.58,30.18,4.12,4.12,2.06,0.00,0.44,8.21,1,0,0,0,0,0,-gneE5,45.21,46.14,4.12,4.12,2.06,0.00,0.59,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,0.00,1,0,0,0,0,0,-gneE1,5.00,6.00,int_5,-gneE3_0,2.00,52.55,53.64,8.24,8.24,4.12,0.00,1.28,4.62,0,0,0,0,0,0,-gneE3,,,,,,,,,-gneE5_0,2.00,36.41,37.68,8.24,8.24,7.00,0.00,1.08,6.67,0,0,0,0,0,0,-gneE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,1.00,0,0,0,0,0,0,-gneE1,6.00,7.00,int_6,-gneE3_0,2.00,39.06,39.86,8.24,8.24,4.12,0.00,1.03,6.22,0,0,0,0,0,0,-gneE3,141.60,144.52,4.12,4.12,2.06,0.00,0.87,1.71,-gneE5_0,2.00,27.56,28.53,8.24,8.24,7.00,0.00,0.78,8.81,0,0,0,0,0,0,-gneE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,1.00,0,0,0,0,0,0,-gneE1,7.00,8.00,int_7,-gneE3_0,2.00,29.41,30.02,8.24,8.24,4.12,0.00,0.71,8.26,0,0,0,0,0,0,-gneE3,62.14,63.42,4.12,4.12,2.06,0.00,0.70,3.91,-gneE5_0,2.00,19.85,20.55,8.24,8.24,7.00,0.00,0.30,12.23,1,0,0,0,0,0,-gneE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,1.00,1,0,0,0,0,0,-gneE1,8.00,9.00,int_8,-gneE3_0,2.00,26.30,26.85,8.24,8.24,4.12,0.00,0.55,9.23,0,0,0,0,0,0,-gneE3,45.31,46.25,4.12,4.12,2.06,0.00,0.59,5.36,-gneE5_0,3.00,30.18,31.18,12.36,12.36,9.93,0.00,1.32,8.05,0,0,0,0,0,0,-gneE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,2.00,0,0,0,0,0,0,-gneE1,9.00,10.00,int_9,-gneE3_0,2.00,22.85,23.32,8.24,8.24,4.12,0.00,0.33,10.63,0,0,0,0,0,0,-gneE3,51.95,53.02,8.24,8.24,4.12,0.00,1.26,4.67,-gneE5_0,3.00,24.31,25.11,12.36,12.36,9.93,0.00,0.90,9.99,0,0,0,0,0,0,-gneE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
