step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,2,6.0
70.0,-8.0,2,16.0
75.0,-8.0,2,26.0
80.0,-20.8,3,38.0
85.0,-20.8,3,53.0
90.0,-36.8,3,68.0
95.0,-36.8,2,52.0
100.0,-36.8,3,64.0
105.0,-8.199999999999996,2,11.0
110.0,-8.199999999999996,4,27.0
115.0,22.6,3,41.0
120.0,22.6,3,56.0
125.0,-36.5,3,71.0
130.0,-36.5,3,86.0
135.0,-36.5,5,107.0
140.0,-50.8,5,100.0
145.0,-50.8,5,125.0
150.0,-39.2,6,152.0
155.0,-39.2,4,151.0
160.0,-39.2,5,175.0
165.0,-49.0,5,200.0
170.0,-49.0,6,227.0
175.0,-69.5,3,177.0
180.0,-69.5,3,79.0
185.0,117.30000000000001,2,53.0
190.0,117.30000000000001,3,67.0
195.0,-0.7000000000000028,3,82.0
200.0,-0.7000000000000028,1,2.0
205.0,-0.7000000000000028,1,7.0
210.0,63.10000000000001,1,12.0
215.0,63.10000000000001,2,21.0
220.0,-16.8,2,31.0
225.0,-16.8,3,42.0
230.0,-29.4,3,57.0
235.0,-29.4,4,73.0
240.0,-41.1,5,97.0
245.0,-41.1,5,122.0
250.0,-58.7,5,147.0
255.0,-58.7,6,176.0
260.0,-58.7,7,207.0
265.0,-83.7,3,118.0
270.0,-83.7,4,69.0
275.0,109.30000000000001,4,80.0
280.0,109.30000000000001,6,105.0
285.0,-59.7,6,135.0
290.0,-59.7,5,99.0
295.0,-59.7,6,124.0
300.0,-13.899999999999991,3,119.0
305.0,-13.899999999999991,4,132.0
310.0,-27.0,5,153.0
315.0,-27.0,5,178.0
320.0,-27.0,7,206.0
325.0,-76.4,3,114.0
330.0,-76.4,4,44.0
335.0,133.4,5,67.0
340.0,133.4,6,95.0
345.0,-60.199999999999996,4,62.0
350.0,-60.199999999999996,5,86.0
355.0,-9.700000000000003,5,111.0
360.0,-9.700000000000003,2,64.0
365.0,-9.700000000000003,2,74.0
370.0,19.400000000000006,5,96.0
375.0,19.400000000000006,6,124.0
380.0,-61.599999999999994,6,150.0
385.0,-61.599999999999994,6,180.0
390.0,-81.0,6,210.0
395.0,-81.0,8,244.0
400.0,-81.0,10,291.0
405.0,-112.79999999999998,10,341.0
410.0,-112.79999999999998,10,391.0
415.0,-129.09999999999997,8,416.0
420.0,-129.09999999999997,9,440.0
425.0,-106.09999999999997,8,368.0
430.0,-106.09999999999997,5,335.0
435.0,64.19999999999999,5,353.0
440.0,64.19999999999999,6,380.0
