step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,1,1.0
105.0,-3.0,0,5.0
110.0,-3.0,0,0.0
115.0,2.7,0,0.0
120.0,2.7,0,0.0
125.0,0.0,0,0.0
130.0,0.0,0,0.0
135.0,0.0,0,0.0
140.0,0.0,0,0.0
145.0,0.0,0,0.0
150.0,0.0,0,0.0
155.0,0.0,0,0.0
160.0,0.0,0,0.0
165.0,0.0,0,0.0
170.0,0.0,1,1.0
175.0,-3.0,1,6.0
180.0,-3.0,2,12.0
185.0,-17.3,2,22.0
190.0,-17.3,3,37.0
195.0,-31.0,3,52.0
200.0,-31.0,0,12.0
205.0,-31.0,0,0.0
210.0,44.1,0,0.0
215.0,44.1,0,0.0
220.0,-3.0,1,5.0
225.0,-3.0,1,10.0
230.0,-3.0,1,15.0
235.0,-12.3,1,20.0
240.0,-12.3,1,25.0
245.0,-11.5,1,1.0
250.0,-11.5,2,8.0
255.0,10.5,2,18.0
260.0,10.5,3,32.0
265.0,-33.2,3,47.0
270.0,-33.2,2,50.0
275.0,-33.2,2,58.0
280.0,-20.4,2,68.0
285.0,-20.4,4,84.0
290.0,-42.0,5,106.0
295.0,-42.0,3,33.0
300.0,-42.0,3,37.0
305.0,49.400000000000006,2,31.0
310.0,49.400000000000006,5,49.0
315.0,-25.699999999999996,5,75.0
320.0,-25.699999999999996,6,102.0
325.0,-60.9,4,130.0
330.0,-60.9,4,117.0
335.0,-30.39999999999999,5,138.0
340.0,-30.39999999999999,6,168.0
345.0,-30.39999999999999,7,202.0
350.0,-89.3,8,238.0
355.0,-89.3,8,278.0
360.0,-113.9,8,318.0
365.0,-113.9,5,293.0
370.0,-113.9,5,306.0
375.0,-34.19999999999999,5,331.0
380.0,-34.19999999999999,6,361.0
385.0,-97.59999999999997,7,394.0
390.0,-97.59999999999997,8,434.0
395.0,-114.30000000000001,8,474.0
400.0,-114.30000000000001,8,514.0
405.0,-129.0,9,563.0
410.0,-129.0,9,589.0
415.0,-148.39999999999998,10,639.0
420.0,-148.39999999999998,4,421.0
425.0,-148.39999999999998,4,188.0
430.0,469.1,6,119.0
435.0,469.1,8,151.0
440.0,-71.7,8,191.0
445.0,-71.7,8,231.0
450.0,-95.9,7,226.0
455.0,-95.9,8,265.0
460.0,-73.9,8,305.0
465.0,-73.9,5,255.0
