step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,0.0,0,0.0
120.0,0.0,0,0.0
125.0,0.0,0,0.0
130.0,-1.0,1,3.0
135.0,-1.0,0,0.0
140.0,-1.0,0,0.0
145.0,0.9,0,0.0
150.0,0.9,0,0.0
155.0,0.0,0,0.0
160.0,0.0,0,0.0
165.0,0.0,0,0.0
170.0,0.0,1,5.0
175.0,-9.0,1,10.0
180.0,-9.0,1,15.0
185.0,-9.0,2,21.0
190.0,-14.9,1,6.0
195.0,-14.9,1,11.0
200.0,6.699999999999999,1,16.0
205.0,6.699999999999999,0,0.0
210.0,6.699999999999999,0,0.0
215.0,12.6,0,0.0
220.0,12.6,2,6.0
225.0,-6.0,1,7.0
230.0,-6.0,1,12.0
235.0,-8.6,0,16.0
240.0,-8.6,0,0.0
245.0,12.6,0,0.0
250.0,12.6,1,3.0
255.0,12.6,1,8.0
260.0,-9.0,2,14.0
265.0,-9.0,2,24.0
270.0,-21.9,2,34.0
275.0,-21.9,1,28.0
280.0,-21.9,2,38.0
285.0,-11.0,3,49.0
290.0,-11.0,3,64.0
295.0,-29.799999999999997,1,11.0
300.0,-29.799999999999997,3,16.0
305.0,35.6,1,29.0
310.0,35.6,0,0.0
315.0,19.8,0,0.0
320.0,19.8,0,0.0
325.0,19.8,0,0.0
330.0,0.0,0,0.0
335.0,0.0,0,0.0
340.0,0.0,2,3.0
345.0,0.0,1,5.0
350.0,0.0,1,10.0
355.0,-10.0,1,15.0
360.0,-10.0,1,20.0
365.0,-13.0,0,24.0
370.0,-13.0,0,0.0
375.0,19.8,0,0.0
380.0,19.8,0,0.0
385.0,0.0,0,0.0
390.0,0.0,0,0.0
395.0,0.0,0,0.0
400.0,0.0,0,0.0
405.0,0.0,1,3.0
410.0,-12.0,3,18.0
415.0,-12.0,0,7.0
420.0,-12.0,0,0.0
425.0,10.8,1,2.0
430.0,10.8,1,5.0
435.0,-7.0,0,9.0
440.0,-7.0,0,0.0
445.0,6.3,0,0.0
450.0,6.3,0,0.0
455.0,6.3,1,4.0
460.0,-5.0,1,9.0
465.0,-5.0,2,19.0
470.0,-21.5,3,32.0
475.0,-21.5,0,4.0
480.0,-21.5,1,1.0
485.0,22.400000000000002,1,2.0
