step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,1,3.0
85.0,-3.0,0,0.0
90.0,-3.0,0,0.0
95.0,2.7,0,0.0
100.0,2.7,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,0.0,0,0.0
120.0,0.0,0,0.0
125.0,0.0,0,0.0
130.0,0.0,0,0.0
135.0,0.0,0,0.0
140.0,0.0,0,0.0
145.0,0.0,0,0.0
150.0,0.0,0,0.0
155.0,0.0,0,0.0
160.0,0.0,0,0.0
165.0,0.0,0,0.0
170.0,0.0,0,0.0
175.0,0.0,0,0.0
180.0,0.0,0,0.0
185.0,0.0,0,0.0
190.0,0.0,0,0.0
195.0,0.0,0,0.0
200.0,0.0,0,0.0
205.0,0.0,0,0.0
210.0,0.0,0,0.0
215.0,0.0,0,0.0
220.0,0.0,1,2.0
225.0,-6.0,1,7.0
230.0,-6.0,1,12.0
235.0,-6.0,2,21.0
240.0,-17.6,0,0.0
245.0,-17.6,0,0.0
250.0,17.7,1,5.0
255.0,17.7,0,0.0
260.0,17.7,1,1.0
265.0,1.7000000000000002,1,2.0
270.0,1.7000000000000002,1,7.0
275.0,-10.1,2,17.0
280.0,-10.1,3,32.0
285.0,-28.1,3,47.0
290.0,-28.1,3,62.0
295.0,-33.8,3,79.0
300.0,-33.8,3,92.0
305.0,-43.8,4,109.0
310.0,-43.8,4,125.0
315.0,-43.8,5,148.0
320.0,-58.5,3,152.0
325.0,-58.5,4,169.0
330.0,-43.29999999999998,5,191.0
335.0,-43.29999999999998,3,197.0
340.0,-43.29999999999998,3,212.0
345.0,-49.099999999999994,3,227.0
350.0,-49.099999999999994,5,244.0
355.0,-63.19999999999999,4,268.0
360.0,-63.19999999999999,6,289.0
365.0,-86.4,7,322.0
370.0,-86.4,3,316.0
375.0,-86.4,3,317.0
380.0,-36.5,4,336.0
385.0,-36.5,6,363.0
390.0,-93.0,6,393.0
395.0,-93.0,4,389.0
400.0,-93.0,5,403.0
405.0,-60.099999999999966,4,415.0
410.0,-60.099999999999966,4,435.0
415.0,-80.30000000000001,5,456.0
420.0,-80.30000000000001,5,481.0
425.0,-102.30000000000001,5,506.0
430.0,-102.30000000000001,5,531.0
435.0,-102.30000000000001,6,560.0
440.0,-115.09999999999997,5,547.0
445.0,-115.09999999999997,5,572.0
450.0,-77.59999999999997,5,597.0
455.0,-77.59999999999997,5,622.0
460.0,-77.59999999999997,6,649.0
