step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,0.0,0,0.0
120.0,0.0,0,0.0
125.0,0.0,0,0.0
130.0,0.0,0,0.0
135.0,0.0,0,0.0
140.0,0.0,0,0.0
145.0,0.0,1,3.0
150.0,-6.0,1,8.0
155.0,-6.0,1,13.0
160.0,-10.6,1,18.0
165.0,-10.6,1,23.0
170.0,-11.6,2,29.0
175.0,-11.6,2,39.0
180.0,-11.6,3,51.0
185.0,-27.599999999999998,1,43.0
190.0,-27.599999999999998,1,48.0
195.0,-4.100000000000001,0,52.0
200.0,-4.100000000000001,0,0.0
205.0,45.0,0,0.0
210.0,45.0,0,0.0
215.0,0.0,0,0.0
220.0,0.0,1,4.0
225.0,0.0,1,9.0
230.0,-10.0,0,0.0
235.0,-10.0,0,0.0
240.0,9.0,0,0.0
245.0,9.0,0,0.0
250.0,9.0,0,0.0
255.0,0.0,0,0.0
260.0,0.0,0,0.0
265.0,0.0,0,0.0
270.0,0.0,0,0.0
275.0,0.0,0,0.0
280.0,0.0,0,0.0
285.0,0.0,2,5.0
290.0,-7.0,2,10.0
295.0,-7.0,3,24.0
300.0,-26.7,3,39.0
305.0,-26.7,2,30.0
310.0,-26.7,3,44.0
315.0,-14.3,0,8.0
320.0,-14.3,0,0.0
325.0,39.6,0,0.0
330.0,39.6,0,0.0
335.0,0.0,0,0.0
340.0,0.0,1,1.0
345.0,0.0,1,6.0
350.0,-7.0,1,11.0
355.0,-7.0,1,16.0
360.0,-12.7,1,21.0
365.0,-12.7,1,26.0
370.0,-12.7,1,31.0
375.0,-13.899999999999999,2,6.0
380.0,-13.899999999999999,3,17.0
385.0,4.900000000000002,3,32.0
390.0,4.900000000000002,4,48.0
395.0,-35.3,4,68.0
400.0,-35.3,4,88.0
405.0,-46.6,3,110.0
410.0,-46.6,4,81.0
415.0,-13.700000000000003,5,106.0
420.0,-13.700000000000003,5,131.0
425.0,-13.700000000000003,6,159.0
430.0,-74.1,5,122.0
435.0,-74.1,5,127.0
440.0,4.5,6,156.0
445.0,4.5,6,186.0
450.0,-74.4,7,218.0
455.0,-74.4,7,234.0
460.0,-74.4,7,269.0
465.0,-85.4,4,221.0
470.0,-85.4,4,206.0
475.0,28.099999999999994,5,227.0
