step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,1,1.0
105.0,-0.03,1,6.0
110.0,-0.05,1,13.0
115.0,0.009999999999999995,1,8.0
120.0,0.009999999999999995,1,13.0
125.0,-0.07,1,18.0
130.0,-0.04999999999999999,1,23.0
135.0,-0.07,1,28.0
140.0,-0.07,1,33.0
145.0,-0.07,1,38.0
150.0,-0.07,0,42.0
155.0,0.38,2,4.0
160.0,0.38,2,12.0
165.0,-0.12000000000000001,2,15.0
170.0,-0.06999999999999998,3,26.0
175.0,-0.06999999999999998,3,34.0
180.0,-0.13000000000000003,2,38.0
185.0,-0.07999999999999996,2,48.0
190.0,-0.14000000000000007,2,58.0
195.0,-0.14000000000000007,0,22.0
200.0,0.3400000000000001,1,23.0
205.0,-0.04000000000000001,1,28.0
210.0,-0.04000000000000001,1,33.0
215.0,-0.07,1,38.0
220.0,-0.04999999999999999,2,46.0
225.0,-0.12,1,55.0
230.0,0.42,0,8.0
235.0,0.42,3,18.0
240.0,-0.13,2,25.0
245.0,-0.1,2,35.0
250.0,-0.15000000000000002,5,56.0
255.0,-0.15000000000000002,5,61.0
260.0,-0.14999999999999997,6,87.0
265.0,-0.38,6,117.0
270.0,-0.30000000000000004,6,147.0
275.0,-0.30000000000000004,7,181.0
280.0,0.09000000000000008,4,154.0
285.0,0.09000000000000008,3,143.0
290.0,0.030000000000000027,6,131.0
295.0,0.0,5,120.0
300.0,0.49,6,109.0
305.0,0.49,7,134.0
310.0,-0.3600000000000001,7,138.0
315.0,-0.1499999999999999,5,164.0
320.0,-0.43999999999999995,9,202.0
325.0,-0.43999999999999995,7,197.0
330.0,-0.1100000000000001,7,202.0
335.0,-0.16999999999999993,8,237.0
340.0,-0.16999999999999993,5,226.0
345.0,-0.04999999999999982,7,195.0
350.0,0.30999999999999983,7,208.0
355.0,-0.29000000000000026,8,248.0
360.0,0.040000000000000036,8,228.0
365.0,0.040000000000000036,10,265.0
370.0,-0.5499999999999998,12,319.0
375.0,-0.56,11,300.0
380.0,0.010000000000000231,10,350.0
385.0,0.010000000000000231,8,326.0
390.0,0.040000000000000036,10,374.0
395.0,-0.7200000000000002,13,437.0
400.0,-0.6499999999999999,12,501.0
405.0,-0.03000000000000025,7,473.0
410.0,-0.03000000000000025,10,516.0
415.0,-0.5999999999999996,11,496.0
420.0,0.0,11,548.0
425.0,0.0,15,616.0
430.0,-0.9000000000000004,16,694.0
435.0,-0.7800000000000002,17,776.0
440.0,-0.8199999999999994,16,774.0
445.0,-0.2699999999999996,13,773.0
450.0,0.669999999999999,15,780.0
455.0,-0.9299999999999988,15,844.0
460.0,-0.9299999999999988,16,827.0
465.0,-0.14000000000000057,17,833.0
470.0,-0.370000000000001,17,913.0
475.0,-0.370000000000001,16,920.0
480.0,-0.3999999999999986,16,972.0
485.0,-0.8500000000000014,18,1058.0
490.0,0.05000000000000071,18,1018.0
495.0,0.05000000000000071,15,1049.0
500.0,-0.6400000000000006,16,999.0
505.0,0.14000000000000057,17,1083.0
510.0,0.14000000000000057,19,1126.0
515.0,-0.7599999999999998,21,1096.0
520.0,-0.09999999999999964,20,1072.0
525.0,1.2299999999999986,20,988.0
530.0,0.6400000000000006,22,940.0
535.0,-0.23000000000000043,21,959.0
540.0,-0.6600000000000001,19,990.0
545.0,0.40000000000000036,16,1014.0
550.0,0.40000000000000036,17,1092.0
555.0,-1.1199999999999992,19,1066.0
560.0,-0.13000000000000078,19,1161.0
565.0,-0.13000000000000078,15,1172.0
570.0,-0.4900000000000002,17,1238.0
575.0,-1.0199999999999996,22,1339.0
580.0,-1.1099999999999994,24,1457.0
585.0,-1.0099999999999998,21,1507.0
590.0,-1.0099999999999998,20,1612.0
595.0,-1.4699999999999989,23,1573.0
600.0,-0.11000000000000298,24,1692.0
605.0,-0.11000000000000298,18,1717.0
610.0,-0.7300000000000004,18,1685.0
615.0,-0.03999999999999915,21,1659.0
620.0,1.3600000000000012,22,1650.0
625.0,-0.7000000000000011,24,1679.0
630.0,-0.7000000000000011,27,1788.0
635.0,-1.620000000000001,32,1849.0
640.0,-1.259999999999998,34,2009.0
645.0,-1.259999999999998,35,2158.0
650.0,-2.1499999999999986,38,2340.0
655.0,-1.8200000000000003,40,2399.0
660.0,-1.3800000000000026,37,2592.0
665.0,-2.599999999999998,36,2774.0
670.0,-2.599999999999998,36,2757.0
675.0,-0.5300000000000011,36,2836.0
680.0,-1.5100000000000016,32,3007.0
685.0,-1.5100000000000016,33,3164.0
690.0,-2.219999999999999,32,3322.0
695.0,-1.5799999999999983,35,3320.0
700.0,-0.6799999999999997,37,3500.0
705.0,-1.480000000000004,38,3576.0
710.0,-1.480000000000004,40,3763.0
715.0,-2.6599999999999966,45,3764.0
720.0,-0.9500000000000028,48,3994.0
725.0,-0.9500000000000028,48,4220.0
730.0,-3.210000000000001,47,4332.0
