step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,1,1.0
110.0,0.0,2,8.0
115.0,-0.08,2,18.0
120.0,-0.14,2,28.0
125.0,-0.13999999999999999,2,38.0
130.0,-0.13999999999999999,1,26.0
135.0,0.08999999999999997,1,31.0
140.0,-0.04999999999999999,1,36.0
145.0,-0.07,1,41.0
150.0,-0.04999999999999999,2,47.0
155.0,-0.09000000000000002,4,61.0
160.0,-0.09000000000000002,3,74.0
165.0,-0.20999999999999996,3,89.0
170.0,-0.25,6,115.0
175.0,-0.28,5,144.0
180.0,-0.08000000000000007,4,139.0
185.0,-0.08000000000000007,5,163.0
190.0,-0.32999999999999985,4,167.0
195.0,-0.1100000000000001,4,187.0
200.0,-0.1100000000000001,1,104.0
205.0,0.75,2,111.0
210.0,-0.1299999999999999,2,125.0
215.0,0.19999999999999996,3,100.0
220.0,0.19999999999999996,0,50.0
225.0,0.47,0,0.0
230.0,0.5,1,2.0
235.0,-0.05,1,7.0
240.0,-0.05,1,12.0
245.0,-0.06999999999999999,1,17.0
250.0,-0.05000000000000002,1,22.0
255.0,-0.07999999999999999,4,34.0
260.0,-0.16999999999999998,4,54.0
265.0,-0.2,3,73.0
270.0,-0.12,3,77.0
275.0,-0.12,5,97.0
280.0,-0.28,5,117.0
285.0,-0.30000000000000004,6,143.0
290.0,-0.31999999999999984,7,178.0
295.0,-0.31999999999999984,7,147.0
300.0,0.16999999999999993,10,175.0
305.0,-0.48,9,224.0
310.0,-0.5700000000000001,9,261.0
315.0,-0.5700000000000001,9,306.0
320.0,-0.6299999999999999,7,281.0
325.0,0.18999999999999995,3,237.0
330.0,0.9300000000000002,4,211.0
335.0,0.9300000000000002,4,194.0
340.0,0.08999999999999986,6,213.0
345.0,-0.31000000000000005,6,245.0
350.0,-0.009999999999999787,7,233.0
355.0,-0.009999999999999787,7,241.0
360.0,-0.2200000000000002,8,233.0
365.0,-0.08999999999999986,9,274.0
370.0,-0.08999999999999986,8,237.0
375.0,0.19999999999999973,8,148.0
380.0,0.8900000000000001,6,161.0
385.0,-0.25,8,196.0
390.0,-0.25,8,206.0
395.0,-0.25,7,207.0
400.0,-0.18000000000000016,9,231.0
405.0,-0.3899999999999997,8,271.0
410.0,-0.3899999999999997,9,255.0
415.0,0.0,8,261.0
420.0,-0.22999999999999998,9,305.0
425.0,-0.26000000000000023,7,311.0
430.0,-0.26000000000000023,9,305.0
435.0,-0.10999999999999988,10,316.0
440.0,-0.3400000000000003,13,374.0
445.0,-0.3400000000000003,11,383.0
450.0,-0.33999999999999986,12,416.0
455.0,-0.5899999999999999,13,481.0
460.0,-0.020000000000000462,12,378.0
465.0,0.7800000000000002,13,379.0
470.0,0.7800000000000002,12,418.0
475.0,-0.6399999999999997,13,457.0
480.0,-0.6400000000000006,14,522.0
485.0,-0.6400000000000006,13,549.0
490.0,-0.5499999999999998,13,528.0
495.0,-0.0699999999999994,14,518.0
500.0,0.7799999999999994,14,522.0
505.0,-0.6200000000000001,16,556.0
510.0,-0.6200000000000001,16,569.0
515.0,-0.45999999999999996,18,607.0
520.0,-0.71,16,689.0
525.0,-0.71,16,720.0
530.0,-0.6299999999999999,16,725.0
535.0,-0.04999999999999982,15,717.0
540.0,-0.1900000000000004,16,788.0
545.0,-0.22999999999999954,9,776.0
550.0,-0.22999999999999954,12,805.0
555.0,-0.5199999999999996,19,844.0
560.0,-0.4400000000000013,19,867.0
565.0,-0.5800000000000001,17,899.0
570.0,0.25,17,930.0
575.0,-0.48999999999999844,19,983.0
580.0,-0.870000000000001,19,1070.0
585.0,-0.870000000000001,18,1139.0
590.0,-1.0700000000000003,21,1237.0
595.0,-1.3999999999999986,22,1345.0
600.0,-1.1000000000000014,22,1455.0
605.0,0.02000000000000135,20,1407.0
610.0,0.02000000000000135,18,1362.0
615.0,0.049999999999998934,18,1447.0
620.0,-1.2300000000000004,20,1545.0
625.0,-1.2300000000000004,18,1592.0
630.0,-0.8699999999999992,20,1624.0
635.0,-0.3199999999999985,24,1614.0
640.0,-0.39000000000000057,25,1655.0
645.0,0.2799999999999976,29,1661.0
650.0,-0.4599999999999973,33,1750.0
655.0,-1.120000000000001,32,1891.0
660.0,-0.46999999999999886,29,1698.0
665.0,1.8599999999999994,25,1679.0
670.0,1.8599999999999994,19,1727.0
675.0,-0.9200000000000017,15,1793.0
680.0,-0.9499999999999993,19,1879.0
685.0,-1.0500000000000007,28,2000.0
690.0,-1.0500000000000007,28,2068.0
695.0,-1.2199999999999989,31,2107.0
700.0,-0.39000000000000057,36,2179.0
705.0,-0.7199999999999989,35,2344.0
710.0,-2.3500000000000014,35,2520.0
715.0,-0.6099999999999994,34,2327.0
720.0,1.9499999999999993,33,2313.0
725.0,1.9499999999999993,29,2373.0
730.0,-1.1999999999999993,23,2478.0
