step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,1,1.0
105.0,-3.0,1,6.0
110.0,-7.3,1,11.0
115.0,-6.0,1,16.0
120.0,-6.0,0,0.0
125.0,13.5,0,0.0
130.0,0.0,0,0.0
135.0,0.0,0,0.0
140.0,0.0,0,0.0
145.0,0.0,0,0.0
150.0,0.0,0,0.0
155.0,0.0,2,3.0
160.0,-11.0,2,13.0
165.0,-11.0,2,23.0
170.0,-15.1,1,16.0
175.0,0.5,2,26.0
180.0,0.5,2,15.0
185.0,4.800000000000001,1,15.0
190.0,-3.5,1,20.0
195.0,-8.7,1,25.0
200.0,-8.7,1,30.0
205.0,-9.399999999999999,1,35.0
210.0,-8.099999999999998,1,40.0
215.0,-10.600000000000001,2,47.0
220.0,-10.600000000000001,1,7.0
225.0,31.700000000000003,0,0.0
230.0,6.3,0,0.0
235.0,-1.0,1,2.0
240.0,-1.0,0,0.0
245.0,0.9,0,0.0
250.0,0.0,1,3.0
255.0,-12.0,6,23.0
260.0,-12.0,2,31.0
265.0,-20.2,3,35.0
270.0,-14.099999999999998,4,55.0
275.0,-14.199999999999996,3,55.0
280.0,-14.199999999999996,6,80.0
285.0,-40.199999999999996,6,94.0
290.0,-28.700000000000003,5,116.0
295.0,-28.700000000000003,9,148.0
300.0,-51.7,8,150.0
305.0,-34.79999999999998,9,169.0
310.0,-19.799999999999983,9,198.0
315.0,-62.099999999999994,8,242.0
320.0,-27.599999999999994,4,226.0
325.0,-27.599999999999994,3,189.0
330.0,6.800000000000011,5,183.0
335.0,11.700000000000017,5,143.0
340.0,-7.199999999999989,3,159.0
345.0,-7.199999999999989,5,162.0
350.0,-24.299999999999983,6,174.0
355.0,-42.19999999999999,7,208.0
360.0,-52.79999999999998,7,245.0
365.0,-21.19999999999999,7,228.0
370.0,-21.19999999999999,8,202.0
375.0,-10.099999999999994,7,216.0
380.0,-51.900000000000006,9,248.0
385.0,-57.0,10,293.0
390.0,-57.0,7,261.0
395.0,-15.299999999999983,7,293.0
400.0,-75.1,9,338.0
405.0,-43.0,7,329.0
410.0,-43.0,6,286.0
415.0,-1.1999999999999886,4,267.0
420.0,-16.099999999999966,7,252.0
425.0,10.200000000000017,9,258.0
430.0,-71.0,11,309.0
435.0,-71.0,6,284.0
440.0,-25.69999999999999,5,257.0
445.0,-14.400000000000006,8,293.0
450.0,-21.0,7,213.0
455.0,42.599999999999994,7,202.0
460.0,42.599999999999994,10,222.0
465.0,-57.5,13,263.0
470.0,-66.29999999999998,12,298.0
475.0,-83.6,11,333.0
480.0,-47.19999999999999,11,356.0
485.0,-77.59999999999997,11,411.0
490.0,-77.59999999999997,11,443.0
495.0,-92.89999999999998,12,487.0
500.0,-88.30000000000001,13,549.0
505.0,-136.7,12,613.0
510.0,-137.5,14,669.0
515.0,-137.5,12,652.0
520.0,-73.5,12,703.0
525.0,-143.29999999999995,15,770.0
530.0,-143.29999999999995,12,756.0
535.0,-90.0,12,795.0
540.0,-140.60000000000002,13,860.0
545.0,-93.10000000000002,15,847.0
550.0,-93.10000000000002,15,891.0
555.0,-158.19999999999993,17,845.0
560.0,-76.69999999999993,13,920.0
565.0,-76.69999999999993,9,927.0
570.0,-123.29999999999995,13,933.0
575.0,-98.69999999999993,16,908.0
580.0,-99.29999999999995,15,985.0
585.0,-148.89999999999998,16,1010.0
590.0,-148.89999999999998,16,1056.0
595.0,-178.39999999999998,18,1071.0
600.0,-161.29999999999995,19,1165.0
605.0,-161.29999999999995,19,1097.0
610.0,-82.69999999999993,15,1138.0
615.0,-179.69999999999993,15,1178.0
620.0,-140.70000000000005,19,1245.0
625.0,-195.0999999999999,20,1232.0
630.0,-140.70000000000005,24,1305.0
635.0,-140.70000000000005,25,1378.0
640.0,-250.0999999999999,25,1472.0
645.0,-288.29999999999995,30,1610.0
650.0,-288.29999999999995,29,1584.0
655.0,-188.0999999999999,27,1659.0
660.0,-285.39999999999986,22,1726.0
665.0,-192.0999999999999,23,1776.0
670.0,-246.20000000000005,25,1879.0
675.0,-168.5,27,1820.0
680.0,-168.5,24,1927.0
685.0,-337.29999999999995,22,1981.0
690.0,-297.0999999999999,28,2054.0
695.0,-265.29999999999995,33,2178.0
700.0,-265.29999999999995,32,2138.0
705.0,-236.29999999999995,30,2258.0
710.0,-392.79999999999995,30,2377.0
715.0,-330.6999999999998,29,2504.0
720.0,-436.5999999999999,35,2646.0
725.0,-436.5999999999999,37,2708.0
730.0,-281.0999999999999,35,2571.0
735.0,-301.0999999999999,32,2733.0
740.0,-301.0999999999999,24,2761.0
745.0,-358.9000000000001,18,2650.0
750.0,-202.0999999999999,20,2696.0
755.0,-355.6999999999998,21,2795.0
760.0,-355.6999999999998,22,2850.0
765.0,-377.4000000000001,32,2870.0
770.0,-391.4000000000001,38,3052.0
775.0,-391.4000000000001,37,3040.0
