step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,-0.02,1,3.0
105.0,-0.02,1,8.0
110.0,-0.06999999999999999,1,13.0
115.0,-0.1,2,23.0
120.0,-0.1,1,10.0
125.0,0.09,1,15.0
130.0,-0.07,1,20.0
135.0,-0.06999999999999998,1,25.0
140.0,-0.06999999999999998,1,30.0
145.0,-0.07,1,35.0
150.0,-0.04999999999999999,1,40.0
155.0,-0.04999999999999999,2,47.0
160.0,-0.15000000000000008,3,62.0
165.0,-0.15000000000000008,3,77.0
170.0,-0.20999999999999996,2,31.0
175.0,0.42000000000000004,2,26.0
180.0,0.04999999999999999,2,36.0
185.0,-0.10000000000000003,2,46.0
190.0,-0.09999999999999998,2,56.0
195.0,-0.14,2,66.0
200.0,-0.09999999999999998,2,76.0
205.0,-0.09999999999999998,2,86.0
210.0,-0.14,2,96.0
215.0,-0.14,3,108.0
220.0,-0.14,0,51.0
225.0,0.51,2,56.0
230.0,-0.08999999999999997,1,65.0
235.0,0.5,0,10.0
240.0,0.5,2,16.0
245.0,-0.07999999999999999,1,8.0
250.0,0.06999999999999999,1,12.0
255.0,-0.039999999999999994,2,18.0
260.0,-0.12000000000000002,3,33.0
265.0,-0.14999999999999997,3,48.0
270.0,-0.14999999999999997,2,30.0
275.0,0.12,4,48.0
280.0,-0.26000000000000006,4,68.0
285.0,-0.32999999999999996,6,95.0
290.0,-0.32999999999999996,5,116.0
295.0,-0.31999999999999995,6,143.0
300.0,-0.29000000000000004,9,181.0
305.0,-0.3999999999999999,7,179.0
310.0,-0.07000000000000006,6,177.0
315.0,0.24,6,185.0
320.0,0.24,5,190.0
325.0,-0.16999999999999993,3,142.0
330.0,0.44999999999999996,2,150.0
335.0,-0.16000000000000014,5,166.0
340.0,-0.16000000000000014,1,117.0
345.0,0.43000000000000016,1,48.0
350.0,0.69,2,22.0
355.0,0.24,4,41.0
360.0,-0.2,5,62.0
365.0,-0.23000000000000004,7,94.0
370.0,-0.32999999999999996,7,111.0
375.0,-0.26,7,139.0
380.0,-0.26,8,174.0
385.0,-0.47,5,190.0
390.0,-0.28,7,222.0
395.0,-0.56,10,268.0
400.0,-0.56,7,284.0
405.0,-0.33000000000000007,9,324.0
410.0,-0.5999999999999996,9,369.0
415.0,-0.5999999999999996,6,322.0
420.0,0.2899999999999996,7,266.0
425.0,0.56,8,306.0
430.0,-0.3999999999999999,9,347.0
435.0,-0.41000000000000014,9,392.0
440.0,-0.44999999999999973,12,445.0
445.0,-0.5300000000000002,13,506.0
450.0,-0.6099999999999994,14,574.0
455.0,-0.6800000000000006,14,644.0
460.0,-0.7000000000000002,13,606.0
465.0,0.14000000000000057,10,662.0
470.0,-0.3700000000000001,9,676.0
475.0,-0.3700000000000001,12,632.0
480.0,0.21999999999999975,10,657.0
485.0,-0.3899999999999997,12,707.0
490.0,-0.3899999999999997,13,668.0
495.0,0.16000000000000014,14,623.0
500.0,0.1999999999999993,15,690.0
505.0,-0.08999999999999986,15,672.0
510.0,-0.08999999999999986,15,643.0
515.0,0.0,16,677.0
520.0,-0.7199999999999998,19,767.0
525.0,-0.7199999999999998,16,800.0
530.0,-0.71,14,773.0
535.0,-0.009999999999999787,15,847.0
540.0,-0.5600000000000005,16,873.0
545.0,-0.5600000000000005,15,902.0
550.0,-0.6099999999999994,20,936.0
555.0,-0.7599999999999998,19,1033.0
560.0,-0.7599999999999998,17,1007.0
565.0,-0.13000000000000078,20,1056.0
570.0,-0.9199999999999999,20,1161.0
575.0,-0.41000000000000014,20,1160.0
580.0,-0.41000000000000014,16,1199.0
585.0,-0.7400000000000002,16,1205.0
590.0,-0.05999999999999872,20,1259.0
595.0,-0.47000000000000064,22,1345.0
600.0,-1.0099999999999998,24,1462.0
605.0,-1.1799999999999997,23,1485.0
610.0,-0.6500000000000004,20,1520.0
615.0,0.2599999999999998,22,1521.0
620.0,-0.5,22,1608.0
625.0,-1.0100000000000016,24,1724.0
630.0,-1.2399999999999984,27,1854.0
635.0,-1.2399999999999984,25,1961.0
640.0,-1.6099999999999994,25,1930.0
645.0,-0.21000000000000085,25,2059.0
650.0,-1.5799999999999983,23,2152.0
655.0,-0.9299999999999997,22,2255.0
660.0,-0.9500000000000028,24,2352.0
665.0,-1.2099999999999973,26,2472.0
670.0,-1.3800000000000026,30,2617.0
675.0,-1.3800000000000026,27,2724.0
680.0,-1.6400000000000006,28,2796.0
685.0,-0.7399999999999984,31,2930.0
690.0,-1.3599999999999994,31,3085.0
695.0,-1.5500000000000007,32,3242.0
700.0,-1.5899999999999999,36,3210.0
705.0,-0.4099999999999966,33,3191.0
710.0,2.1899999999999977,29,2969.0
715.0,2.2300000000000004,27,2771.0
720.0,1.7399999999999984,27,2606.0
725.0,1.4699999999999989,26,2480.0
730.0,1.9500000000000028,28,2332.0
735.0,0.9899999999999984,28,2255.0
