step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,1,1.0
105.0,-0.04,1,6.0
110.0,-0.049999999999999996,2,12.0
115.0,-0.09,2,22.0
120.0,-0.09,2,32.0
125.0,-0.14,2,42.0
130.0,-0.09999999999999998,2,52.0
135.0,-0.10000000000000003,2,62.0
140.0,-0.09999999999999998,2,72.0
145.0,-0.09999999999999998,2,82.0
150.0,-0.09999999999999998,3,94.0
155.0,-0.18000000000000005,5,112.0
160.0,-0.21999999999999997,4,136.0
165.0,-0.27,5,154.0
170.0,-0.27,6,181.0
175.0,-0.3800000000000001,6,211.0
180.0,-0.2999999999999998,6,241.0
185.0,-0.30000000000000027,4,184.0
190.0,0.5400000000000003,3,199.0
195.0,0.5400000000000003,5,222.0
200.0,-0.29000000000000026,3,199.0
205.0,0.17000000000000037,3,185.0
210.0,0.1399999999999999,3,200.0
215.0,-0.15000000000000013,4,217.0
220.0,-0.18999999999999995,4,237.0
225.0,-0.20000000000000018,4,257.0
230.0,-0.19999999999999973,5,280.0
235.0,-0.25,6,307.0
240.0,-0.29000000000000004,6,337.0
245.0,-0.30000000000000027,7,369.0
250.0,-0.34999999999999964,9,409.0
255.0,-0.4299999999999997,11,459.0
260.0,-0.54,11,514.0
265.0,-0.5500000000000007,11,569.0
270.0,-0.5499999999999998,10,623.0
275.0,0.9000000000000004,11,512.0
280.0,0.9000000000000004,13,563.0
285.0,-0.75,13,505.0
290.0,0.34999999999999964,12,456.0
295.0,1.0,13,467.0
300.0,-0.6499999999999995,16,537.0
305.0,-0.79,16,617.0
310.0,-0.8000000000000007,16,697.0
315.0,-0.7999999999999998,16,777.0
320.0,-0.7999999999999998,16,857.0
325.0,-0.7999999999999998,12,836.0
330.0,-0.10999999999999943,14,901.0
335.0,-0.9500000000000011,16,979.0
340.0,-0.7999999999999989,16,1059.0
345.0,-0.8100000000000005,18,1145.0
350.0,-0.8900000000000006,19,1238.0
355.0,-0.9499999999999993,18,1332.0
360.0,-0.6500000000000004,18,1359.0
365.0,-0.6500000000000004,21,1455.0
370.0,-1.3599999999999994,21,1498.0
375.0,-0.8200000000000003,19,1598.0
380.0,-0.8200000000000003,21,1696.0
385.0,-1.370000000000001,21,1733.0
390.0,-0.759999999999998,21,1832.0
395.0,-1.4800000000000004,24,1944.0
400.0,-1.4800000000000004,20,2021.0
405.0,-1.2100000000000009,19,1930.0
410.0,0.5599999999999987,18,2021.0
415.0,0.5599999999999987,14,2069.0
420.0,-0.8399999999999999,14,1974.0
425.0,0.7000000000000028,11,2033.0
430.0,-0.5100000000000016,13,2063.0
435.0,-0.5100000000000016,13,1959.0
440.0,0.7899999999999991,13,1989.0
445.0,-0.6199999999999974,17,2064.0
450.0,-0.6199999999999974,15,1964.0
455.0,0.6899999999999977,17,1719.0
460.0,2.4499999999999993,16,1512.0
465.0,2.070000000000002,19,1394.0
470.0,1.1799999999999997,20,1359.0
475.0,0.34999999999999964,20,1347.0
480.0,0.11999999999999922,21,1436.0
485.0,-0.8899999999999988,22,1544.0
490.0,-1.08,23,1658.0
495.0,-1.1399999999999988,25,1780.0
500.0,-1.2200000000000024,23,1846.0
505.0,-1.0899999999999999,20,1948.0
510.0,-1.4600000000000009,23,2058.0
515.0,-1.4600000000000009,25,2118.0
520.0,-1.0700000000000003,22,2231.0
525.0,-1.5999999999999979,27,2355.0
530.0,-1.5999999999999979,24,2426.0
535.0,-1.240000000000002,25,2548.0
540.0,-1.7399999999999984,29,2684.0
545.0,-1.4299999999999997,31,2835.0
550.0,-1.5599999999999987,32,2997.0
555.0,-1.490000000000002,29,3077.0
560.0,-1.490000000000002,28,3215.0
565.0,-1.9599999999999973,29,3290.0
570.0,-1.3200000000000003,30,3435.0
575.0,-1.3200000000000003,26,3437.0
580.0,-0.6099999999999994,27,3561.0
585.0,-1.7899999999999991,31,3707.0
590.0,1.1199999999999974,30,3534.0
595.0,1.1199999999999974,29,3624.0
600.0,-1.490000000000002,25,3612.0
605.0,-0.28000000000000114,21,3724.0
610.0,-0.28000000000000114,25,3525.0
615.0,1.5600000000000023,25,3575.0
620.0,-1.0399999999999991,26,3708.0
625.0,-0.17999999999999972,25,3525.0
630.0,1.4499999999999957,26,3528.0
635.0,0.5500000000000043,32,3479.0
640.0,0.5500000000000043,33,3306.0
645.0,1.0899999999999963,32,2897.0
650.0,4.100000000000001,32,2605.0
655.0,2.8900000000000006,33,2401.0
660.0,2.0500000000000007,32,2230.0
665.0,3.1400000000000006,33,2005.0
670.0,0.8200000000000003,33,2000.0
675.0,0.05000000000000071,35,2094.0
680.0,-0.9600000000000009,36,2220.0
685.0,-1.0600000000000023,38,2352.0
690.0,-1.5499999999999972,39,2535.0
695.0,-1.8500000000000014,41,2737.0
700.0,-2.0500000000000007,45,2956.0
705.0,-2.219999999999999,47,3188.0
710.0,-2.330000000000002,47,3423.0
