step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,1,4.0
110.0,-0.06,0,8.0
115.0,0.06,0,0.0
120.0,0.0,0,0.0
125.0,0.0,0,0.0
130.0,0.0,0,0.0
135.0,0.0,0,0.0
140.0,0.0,0,0.0
145.0,0.0,0,0.0
150.0,0.0,1,4.0
155.0,-0.04,1,9.0
160.0,-0.049999999999999996,2,9.0
165.0,-0.04000000000000001,2,19.0
170.0,-0.1,2,29.0
175.0,-0.009999999999999981,2,26.0
180.0,-0.009999999999999981,2,16.0
185.0,0.06,2,26.0
190.0,-0.14,2,36.0
195.0,-0.14,1,26.0
200.0,0.06,0,0.0
205.0,0.26,0,0.0
210.0,0.0,0,0.0
215.0,0.0,1,1.0
220.0,0.0,0,0.0
225.0,0.0,0,0.0
230.0,0.0,1,3.0
235.0,-0.04,2,9.0
240.0,-0.10999999999999999,2,19.0
245.0,-0.10999999999999999,2,29.0
250.0,-0.13999999999999999,1,16.0
255.0,0.07999999999999999,3,30.0
260.0,-0.010000000000000009,3,25.0
265.0,-0.010000000000000009,4,45.0
270.0,-0.27,3,51.0
275.0,-0.12,5,70.0
280.0,-0.12,3,63.0
285.0,-0.020000000000000018,3,55.0
290.0,0.07999999999999996,4,74.0
295.0,-0.18999999999999995,5,96.0
300.0,-0.21999999999999997,5,95.0
305.0,-0.09000000000000008,5,120.0
310.0,-0.3599999999999999,7,148.0
315.0,-0.3599999999999999,4,119.0
320.0,0.17999999999999994,4,113.0
325.0,-0.050000000000000044,5,138.0
330.0,-0.050000000000000044,5,163.0
335.0,-0.34999999999999987,6,193.0
340.0,-0.30000000000000004,3,159.0
345.0,0.26,4,180.0
350.0,0.1299999999999999,5,119.0
355.0,0.54,5,105.0
360.0,0.54,3,67.0
365.0,0.30000000000000004,5,77.0
370.0,-0.25,8,109.0
375.0,-0.25,8,127.0
380.0,-0.32000000000000006,8,140.0
385.0,-0.27,7,158.0
390.0,-0.020000000000000018,7,179.0
395.0,-0.4099999999999999,8,205.0
400.0,-0.4099999999999999,7,213.0
405.0,-0.2300000000000002,7,189.0
410.0,0.13000000000000034,7,221.0
415.0,0.13000000000000034,7,217.0
420.0,-0.10000000000000009,6,194.0
425.0,0.10999999999999988,7,187.0
430.0,-0.14000000000000012,10,230.0
435.0,-0.5,10,280.0
440.0,-0.5,8,288.0
445.0,-0.27,10,332.0
450.0,-0.6599999999999997,12,387.0
455.0,-0.6000000000000005,13,448.0
460.0,-0.6499999999999995,15,518.0
465.0,-0.75,16,594.0
470.0,-0.75,12,579.0
475.0,-0.16000000000000014,11,542.0
480.0,0.16999999999999993,11,594.0
485.0,-0.009999999999999787,11,536.0
490.0,0.09999999999999964,12,565.0
495.0,0.09999999999999964,12,533.0
500.0,0.07000000000000028,13,526.0
505.0,0.7000000000000002,13,456.0
510.0,-0.1900000000000004,12,519.0
515.0,-0.1900000000000004,10,534.0
520.0,-0.3899999999999997,13,546.0
525.0,-0.3600000000000003,12,565.0
530.0,0.10000000000000053,13,599.0
535.0,-0.13000000000000078,15,588.0
540.0,-0.13000000000000078,13,622.0
545.0,-0.6199999999999992,12,658.0
550.0,-0.6000000000000005,15,699.0
555.0,-0.3199999999999994,17,760.0
560.0,-0.3199999999999994,16,794.0
565.0,-0.6700000000000008,15,751.0
570.0,0.14000000000000057,13,819.0
575.0,-0.7800000000000002,15,873.0
580.0,-0.7800000000000002,16,843.0
585.0,0.0,13,706.0
590.0,1.38,14,694.0
595.0,-0.16999999999999993,15,767.0
600.0,-0.16999999999999993,13,745.0
605.0,-0.08000000000000007,16,679.0
610.0,0.6600000000000001,16,676.0
615.0,-0.3200000000000003,18,684.0
620.0,0.5800000000000001,16,646.0
625.0,0.28000000000000025,16,675.0
630.0,-0.5700000000000003,17,659.0
635.0,-0.35999999999999943,22,740.0
640.0,-0.35999999999999943,20,795.0
645.0,-0.9800000000000004,24,836.0
650.0,-0.8900000000000006,24,952.0
655.0,-0.8900000000000006,21,964.0
660.0,-0.5899999999999999,21,1002.0
665.0,-0.7999999999999989,23,1114.0
670.0,-0.8900000000000006,20,1153.0
675.0,-0.8900000000000006,20,1179.0
680.0,-0.6600000000000001,21,1173.0
685.0,-0.41999999999999993,22,1184.0
690.0,0.7599999999999998,24,1212.0
695.0,0.7599999999999998,25,1259.0
700.0,-0.9399999999999995,25,1315.0
705.0,-1.08,26,1447.0
710.0,-0.9100000000000001,25,1414.0
715.0,-0.03999999999999915,29,1491.0
720.0,-0.03999999999999915,31,1550.0
725.0,-1.1900000000000013,33,1534.0
730.0,0.15000000000000036,32,1623.0
735.0,-1.5300000000000011,34,1785.0
740.0,-1.5300000000000011,33,1864.0
745.0,-1.4499999999999993,34,1925.0
750.0,-1.3099999999999987,35,2009.0
755.0,0.019999999999999574,32,2093.0
