step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,1,2.0
115.0,-0.04,1,7.0
120.0,-0.07,1,12.0
125.0,-0.05,1,17.0
130.0,-0.05,0,0.0
135.0,0.16,0,0.0
140.0,0.0,0,0.0
145.0,0.0,0,0.0
150.0,0.0,1,4.0
155.0,-0.06,2,11.0
160.0,-0.09,3,18.0
165.0,-0.09,3,24.0
170.0,-0.12000000000000002,4,41.0
175.0,-0.18,3,39.0
180.0,-0.02999999999999997,3,54.0
185.0,-0.02999999999999997,2,47.0
190.0,0.010000000000000009,2,57.0
195.0,-0.14,2,67.0
200.0,-0.14,2,77.0
205.0,-0.09999999999999998,2,87.0
210.0,-0.09999999999999998,0,39.0
215.0,0.45999999999999996,2,42.0
220.0,-0.08999999999999997,2,52.0
225.0,-0.08999999999999997,2,62.0
230.0,-0.14,2,60.0
235.0,-0.020000000000000018,3,71.0
240.0,-0.18999999999999995,3,86.0
245.0,-0.18999999999999995,3,101.0
250.0,-0.21000000000000008,3,116.0
255.0,-0.1499999999999999,5,136.0
260.0,-0.21999999999999997,5,161.0
265.0,-0.25,3,154.0
270.0,0.030000000000000027,4,171.0
275.0,0.030000000000000027,6,197.0
280.0,-0.3400000000000001,5,121.0
285.0,0.6599999999999999,5,94.0
290.0,0.27,7,124.0
295.0,-0.33999999999999986,8,163.0
300.0,-0.18000000000000016,8,164.0
305.0,-0.18000000000000016,6,153.0
310.0,-0.020000000000000018,5,148.0
315.0,-0.040000000000000036,6,152.0
320.0,0.030000000000000027,6,171.0
325.0,0.030000000000000027,6,201.0
330.0,-0.4199999999999997,6,231.0
335.0,-0.4200000000000004,7,262.0
340.0,-0.3299999999999996,6,296.0
345.0,0.19999999999999973,5,261.0
350.0,0.19999999999999973,9,294.0
355.0,-0.46999999999999975,8,333.0
360.0,-0.54,9,374.0
365.0,-0.54,10,354.0
370.0,0.029999999999999805,11,405.0
375.0,-0.7599999999999998,13,469.0
380.0,-0.6500000000000004,13,534.0
385.0,-0.6499999999999995,13,600.0
390.0,-0.45999999999999996,12,618.0
395.0,-0.45999999999999996,11,645.0
400.0,-0.5,11,672.0
405.0,-0.05000000000000071,10,574.0
410.0,0.6299999999999999,5,609.0
415.0,0.6299999999999999,6,626.0
420.0,-0.27999999999999936,9,558.0
425.0,0.5299999999999994,6,481.0
430.0,1.8600000000000003,7,408.0
435.0,0.2200000000000002,7,372.0
440.0,0.2200000000000002,11,401.0
445.0,-0.4700000000000002,11,432.0
450.0,-0.3099999999999996,10,431.0
455.0,-0.15000000000000036,11,479.0
460.0,-0.15000000000000036,10,436.0
465.0,0.21999999999999975,12,492.0
470.0,-0.8300000000000001,15,563.0
475.0,-0.7699999999999996,17,649.0
480.0,-0.8300000000000001,14,693.0
485.0,-0.8300000000000001,18,772.0
490.0,-1.12,18,836.0
495.0,-0.9700000000000006,19,926.0
500.0,-0.9700000000000006,18,920.0
505.0,-0.3199999999999985,17,993.0
510.0,-1.1100000000000012,22,1095.0
515.0,-1.0899999999999999,23,1211.0
520.0,-1.129999999999999,19,1272.0
525.0,-0.27000000000000135,19,1299.0
530.0,-0.8300000000000001,21,1384.0
535.0,-1.0199999999999996,21,1486.0
540.0,-1.0199999999999996,20,1486.0
545.0,-0.40000000000000036,18,1579.0
550.0,-1.2899999999999991,21,1675.0
555.0,-1.2899999999999991,21,1619.0
560.0,0.14999999999999858,20,1717.0
565.0,-1.379999999999999,21,1819.0
570.0,-1.0300000000000011,21,1921.0
575.0,-1.0399999999999991,23,1856.0
580.0,0.14000000000000057,22,1800.0
585.0,1.9299999999999997,20,1777.0
590.0,1.3999999999999986,17,1634.0
595.0,1.240000000000002,17,1510.0
600.0,1.240000000000002,16,1546.0
605.0,-0.7000000000000011,20,1551.0
610.0,-0.5099999999999998,23,1571.0
615.0,0.6100000000000012,21,1596.0
620.0,0.6100000000000012,19,1635.0
625.0,-0.8200000000000021,24,1688.0
630.0,-0.5299999999999976,27,1638.0
635.0,-0.08000000000000185,27,1779.0
640.0,-0.9299999999999997,26,1743.0
645.0,0.15000000000000213,21,1795.0
650.0,0.15000000000000213,24,1843.0
655.0,-0.9200000000000017,24,1923.0
660.0,-1.3999999999999986,29,2032.0
665.0,-1.2200000000000024,34,2196.0
670.0,-1.2200000000000024,32,2170.0
675.0,-0.41999999999999815,29,1946.0
680.0,2.2399999999999984,28,2089.0
685.0,-1.9899999999999984,27,2227.0
690.0,-1.1000000000000014,29,2206.0
695.0,0.0,31,2286.0
700.0,0.0,30,2429.0
705.0,-2.0500000000000007,32,2523.0
710.0,-1.6600000000000001,35,2639.0
715.0,-0.6199999999999974,35,2759.0
720.0,-0.6199999999999974,32,2796.0
725.0,-1.0800000000000018,31,2931.0
730.0,-1.9600000000000009,33,3089.0
