step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,-3.0,1,5.0
75.0,-3.0,1,10.0
80.0,-8.3,1,15.0
85.0,-6.1,1,20.0
90.0,-6.6,2,28.0
95.0,-17.099999999999998,2,38.0
100.0,-13.600000000000001,2,48.0
105.0,-13.600000000000001,1,40.0
110.0,-0.6000000000000014,1,45.0
115.0,-0.6000000000000014,1,1.0
120.0,36.800000000000004,1,6.0
125.0,-5.1,1,11.0
130.0,-5.6,1,16.0
135.0,-9.1,2,23.0
140.0,-9.1,1,7.0
145.0,9.100000000000001,1,12.0
150.0,6.2,0,0.0
155.0,0.9,0,0.0
160.0,0.9,0,0.0
165.0,0.0,0,0.0
170.0,0.0,0,0.0
175.0,0.0,0,0.0
180.0,0.0,0,0.0
185.0,0.0,0,0.0
190.0,0.0,0,0.0
195.0,0.0,0,0.0
200.0,0.0,0,0.0
205.0,0.0,0,0.0
210.0,0.0,0,0.0
215.0,0.0,0,0.0
220.0,0.0,3,7.0
225.0,-7.0,1,12.0
230.0,-8.7,1,11.0
235.0,-2.5,2,20.0
240.0,-2.5,0,6.0
245.0,8.4,1,9.0
250.0,-11.6,2,19.0
255.0,-14.7,3,33.0
260.0,-18.0,3,48.0
265.0,-19.5,3,63.0
270.0,-19.5,3,62.0
275.0,-15.0,6,87.0
280.0,-36.9,7,119.0
285.0,-36.9,7,142.0
290.0,-52.89999999999999,6,157.0
295.0,-44.2,6,183.0
300.0,-44.2,5,195.0
305.0,-45.19999999999999,6,210.0
310.0,-36.0,6,243.0
315.0,4.400000000000006,6,196.0
320.0,4.400000000000006,4,182.0
325.0,-19.0,4,202.0
330.0,-19.0,4,146.0
335.0,25.0,5,120.0
340.0,-6.599999999999994,6,150.0
345.0,-6.599999999999994,7,157.0
350.0,-39.8,8,194.0
355.0,-81.4,9,238.0
360.0,-67.9,9,283.0
365.0,-72.4,10,329.0
370.0,-84.89999999999998,11,383.0
375.0,-84.89999999999998,8,345.0
380.0,-23.19999999999999,7,323.0
385.0,26.19999999999999,8,320.0
390.0,26.19999999999999,10,354.0
395.0,-87.59999999999997,9,355.0
400.0,-61.39999999999998,8,396.0
405.0,-61.39999999999998,8,349.0
410.0,-15.0,9,293.0
415.0,19.30000000000001,9,341.0
420.0,-33.19999999999999,7,312.0
425.0,-33.19999999999999,7,312.0
430.0,-54.5,9,339.0
435.0,-60.89999999999998,9,384.0
440.0,-60.89999999999998,5,350.0
445.0,-28.69999999999999,6,293.0
450.0,22.0,8,309.0
455.0,-45.30000000000001,6,338.0
460.0,-80.89999999999998,8,374.0
465.0,-80.89999999999998,11,426.0
470.0,-113.89999999999998,12,482.0
475.0,-73.69999999999999,9,476.0
480.0,-73.69999999999999,12,520.0
485.0,-126.69999999999999,15,592.0
490.0,-129.7,16,669.0
495.0,-141.19999999999993,17,752.0
500.0,-141.19999999999993,14,787.0
505.0,-156.10000000000002,13,814.0
510.0,-147.69999999999993,15,886.0
515.0,-147.69999999999993,16,922.0
520.0,-166.60000000000002,15,1000.0
525.0,-169.69999999999993,16,1029.0
530.0,-169.69999999999993,16,1063.0
535.0,-181.29999999999995,15,1103.0
540.0,-120.29999999999995,20,1160.0
545.0,-120.29999999999995,19,1196.0
550.0,-202.39999999999998,16,1238.0
555.0,-210.5999999999999,19,1325.0
560.0,-210.5999999999999,19,1222.0
565.0,-81.70000000000005,16,957.0
570.0,143.0,17,1040.0
575.0,-180.29999999999995,20,1076.0
580.0,-180.29999999999995,21,1042.0
585.0,-131.60000000000002,19,1138.0
590.0,-131.60000000000002,18,1173.0
595.0,-199.19999999999993,21,1186.0
600.0,-130.29999999999995,24,1245.0
605.0,-177.5999999999999,28,1305.0
610.0,-263.5,27,1365.0
615.0,-190.39999999999986,30,1496.0
620.0,-279.5999999999999,32,1635.0
625.0,-279.5999999999999,30,1626.0
630.0,-241.20000000000005,28,1657.0
635.0,-95.59999999999991,27,1694.0
640.0,-318.5999999999999,26,1772.0
645.0,-318.5999999999999,27,1883.0
650.0,-370.5999999999999,35,2042.0
655.0,-370.5999999999999,34,2114.0
660.0,-366.20000000000005,36,2285.0
665.0,-489.39999999999986,37,2465.0
670.0,-489.39999999999986,40,2495.0
675.0,-381.1999999999998,37,2369.0
680.0,-124.40000000000009,34,2449.0
685.0,-406.5,31,2602.0
690.0,-406.5,24,2709.0
695.0,-446.0999999999999,29,2821.0
700.0,-385.0,39,2980.0
705.0,-385.0,40,3086.0
710.0,-503.9000000000001,41,3282.0
715.0,-627.5999999999999,41,3487.0
720.0,-627.5999999999999,42,3587.0
725.0,-565.5,42,3801.0
730.0,-691.0,44,3993.0
735.0,-609.7999999999997,49,4221.0
740.0,-609.7999999999997,52,4363.0
745.0,-711.1999999999998,50,4617.0
750.0,-711.1999999999998,50,4852.0
755.0,-832.5999999999999,47,4875.0
760.0,-641.1999999999998,44,4884.0
765.0,-306.8000000000002,46,4906.0
770.0,-306.8000000000002,44,4989.0
775.0,-700.3999999999996,44,5207.0
780.0,-635.3000000000002,40,5002.0
