step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,1,2.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,1,1.0
95.0,-3.0,1,6.0
100.0,-3.0,1,11.0
105.0,-8.3,0,0.0
110.0,9.9,0,0.0
115.0,9.9,0,0.0
120.0,-1.0,0,4.0
125.0,0.9,0,0.0
130.0,0.9,0,0.0
135.0,0.0,1,2.0
140.0,0.0,0,0.0
145.0,0.0,1,2.0
150.0,-5.0,2,8.0
155.0,-5.0,0,3.0
160.0,1.5,0,0.0
165.0,2.7,0,0.0
170.0,0.0,0,0.0
175.0,0.0,0,0.0
180.0,0.0,0,0.0
185.0,0.0,1,3.0
190.0,-3.0,1,8.0
195.0,-8.3,1,13.0
200.0,-8.3,0,0.0
205.0,9.9,0,0.0
210.0,0.0,0,0.0
215.0,0.0,0,0.0
220.0,0.0,1,2.0
225.0,-4.0,2,8.0
230.0,-4.0,1,6.0
235.0,-2.4,2,14.0
240.0,-14.6,2,24.0
245.0,-12.0,2,34.0
250.0,-15.0,3,48.0
255.0,-15.0,3,41.0
260.0,-7.199999999999996,4,63.0
265.0,-27.5,4,72.0
270.0,-27.5,3,46.0
275.0,8.200000000000003,7,69.0
280.0,8.200000000000003,7,93.0
285.0,-45.3,7,119.0
290.0,-35.3,6,115.0
295.0,-25.89999999999999,6,145.0
300.0,-25.89999999999999,3,129.0
305.0,-12.299999999999997,5,153.0
310.0,-54.2,6,179.0
315.0,-54.2,6,209.0
320.0,-65.29999999999998,6,239.0
325.0,-65.29999999999998,3,197.0
330.0,1.9000000000000057,3,125.0
335.0,52.30000000000001,3,140.0
340.0,-39.5,5,161.0
345.0,-39.5,2,118.0
350.0,16.80000000000001,6,136.0
355.0,-55.0,7,170.0
360.0,-51.29999999999998,7,205.0
365.0,-57.79999999999998,9,245.0
370.0,-57.79999999999998,6,256.0
375.0,-55.599999999999994,8,289.0
380.0,-55.599999999999994,9,330.0
385.0,-88.79999999999998,8,337.0
390.0,-62.0,8,353.0
395.0,-47.89999999999998,8,387.0
400.0,-77.09999999999997,8,427.0
405.0,-77.09999999999997,6,403.0
410.0,-39.099999999999966,7,435.0
415.0,-68.89999999999998,8,445.0
420.0,-68.89999999999998,6,353.0
425.0,30.30000000000001,6,379.0
430.0,30.30000000000001,9,405.0
435.0,-78.30000000000001,9,450.0
440.0,-85.5,7,463.0
445.0,-81.0,9,503.0
450.0,-81.0,11,554.0
455.0,-127.59999999999997,13,612.0
460.0,-116.5,14,679.0
465.0,-22.5,10,484.0
470.0,96.5,12,442.0
475.0,96.5,12,460.0
480.0,-97.0,14,522.0
485.0,-97.0,15,574.0
490.0,-138.39999999999998,18,621.0
495.0,-156.39999999999998,18,675.0
500.0,-90.29999999999995,18,716.0
505.0,-135.60000000000002,20,801.0
510.0,-135.60000000000002,19,823.0
515.0,-156.19999999999993,18,917.0
520.0,-214.19999999999993,18,979.0
525.0,-182.19999999999993,22,1079.0
530.0,-219.69999999999993,24,1195.0
535.0,-237.0999999999999,24,1315.0
540.0,-237.0999999999999,23,1257.0
545.0,-139.0999999999999,21,1220.0
550.0,21.90000000000009,21,1113.0
555.0,-72.89999999999986,23,1172.0
560.0,-72.89999999999986,21,1201.0
565.0,-204.69999999999993,19,1299.0
570.0,-277.0999999999999,21,1399.0
575.0,-241.79999999999995,24,1511.0
580.0,-273.39999999999986,28,1647.0
585.0,-301.0999999999999,29,1791.0
590.0,-318.29999999999995,30,1937.0
595.0,-340.79999999999995,34,2098.0
600.0,-373.0999999999999,36,2273.0
605.0,-373.0999999999999,36,2367.0
610.0,-421.0999999999999,35,2543.0
615.0,-389.1999999999998,34,2469.0
620.0,-198.0999999999999,35,2529.0
625.0,-198.0999999999999,32,2675.0
630.0,-493.4000000000001,34,2840.0
635.0,-493.4000000000001,33,2882.0
640.0,-417.7999999999997,31,2814.0
645.0,-220.19999999999982,33,2811.0
650.0,-278.4000000000001,32,2965.0
655.0,-537.0999999999999,37,3139.0
660.0,-537.0999999999999,36,3206.0
665.0,-482.6999999999998,38,3227.0
670.0,-345.2999999999997,38,3212.0
675.0,-428.4000000000001,39,3208.0
680.0,-140.5999999999999,40,3210.0
685.0,-138.0,37,3028.0
690.0,-138.0,35,3090.0
695.0,-465.0999999999999,30,3150.0
700.0,-272.6999999999998,30,3203.0
705.0,-272.6999999999998,29,3173.0
710.0,-370.4000000000001,30,3274.0
715.0,-510.2999999999997,35,3399.0
720.0,-455.5999999999999,40,3564.0
725.0,-455.5999999999999,42,3662.0
730.0,-565.5,41,3866.0
735.0,-490.1999999999998,41,3863.0
740.0,-490.1999999999998,45,3954.0
745.0,-606.1999999999998,47,4072.0
750.0,-413.5999999999999,44,4185.0
755.0,-413.5999999999999,36,4333.0
760.0,-683.5,36,4291.0
765.0,-500.2999999999997,41,4272.0
770.0,-242.0,45,4098.0
775.0,-291.1999999999998,50,4173.0
780.0,-291.1999999999998,50,4379.0
785.0,-761.2999999999997,44,4567.0
