step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,2,5.0
110.0,-13.0,3,16.0
115.0,-13.0,0,14.0
120.0,-2.299999999999999,0,5.0
125.0,12.6,0,0.0
130.0,-2.0,2,6.0
135.0,-2.0,1,10.0
140.0,-8.2,0,0.0
145.0,9.0,1,1.0
150.0,9.0,0,0.0
155.0,0.0,0,0.0
160.0,-4.0,1,5.0
165.0,-4.0,0,0.0
170.0,3.6,0,0.0
175.0,0.0,0,0.0
180.0,0.0,0,0.0
185.0,0.0,1,2.0
190.0,-4.0,1,7.0
195.0,-5.4,1,12.0
200.0,-5.4,2,21.0
205.0,-12.9,1,23.0
210.0,-7.099999999999998,2,29.0
215.0,-7.099999999999998,3,13.0
220.0,7.400000000000002,3,31.0
225.0,-23.6,4,42.0
230.0,-23.799999999999997,4,62.0
235.0,-23.799999999999997,2,55.0
240.0,-3.799999999999997,0,33.0
245.0,35.4,1,16.0
250.0,35.4,3,29.0
255.0,-15.5,3,44.0
260.0,-17.9,4,63.0
265.0,-23.4,4,83.0
270.0,-26.299999999999997,3,77.0
275.0,-8.299999999999997,2,74.0
280.0,-6.299999999999997,3,87.0
285.0,-6.299999999999997,0,46.0
290.0,65.9,0,7.0
295.0,-4.7,1,12.0
300.0,-4.7,1,17.0
305.0,-9.1,1,22.0
310.0,-9.1,1,27.0
315.0,-9.899999999999999,1,7.0
320.0,14.3,2,14.0
325.0,14.3,4,30.0
330.0,-25.0,6,56.0
335.0,-31.4,6,86.0
340.0,-56.199999999999996,8,120.0
345.0,-56.199999999999996,6,124.0
350.0,-37.2,8,160.0
355.0,-37.2,9,203.0
360.0,-78.8,9,248.0
365.0,-92.29999999999998,9,293.0
370.0,-92.29999999999998,8,292.0
375.0,-52.5,8,333.0
380.0,-28.0,3,250.0
385.0,63.19999999999999,1,206.0
390.0,63.5,2,123.0
395.0,63.5,5,142.0
400.0,-47.099999999999994,9,181.0
405.0,-47.099999999999994,6,165.0
410.0,-24.599999999999994,6,164.0
415.0,-31.5,4,167.0
420.0,-2.0,5,158.0
425.0,-10.400000000000006,5,168.0
430.0,-10.400000000000006,7,199.0
435.0,-63.79999999999998,8,238.0
440.0,-61.599999999999994,7,247.0
445.0,-47.69999999999999,7,277.0
450.0,-64.0,8,315.0
455.0,-70.69999999999999,8,355.0
460.0,-74.69999999999999,8,395.0
465.0,-74.69999999999999,8,435.0
470.0,-102.69999999999999,8,475.0
475.0,-102.69999999999999,9,517.0
480.0,-111.09999999999997,11,568.0
485.0,-102.69999999999999,11,623.0
490.0,-111.80000000000001,12,557.0
495.0,-26.299999999999955,9,605.0
500.0,-26.299999999999955,8,626.0
505.0,-106.69999999999993,9,672.0
510.0,-9.5,9,590.0
515.0,-9.5,8,570.0
520.0,-67.10000000000002,11,623.0
525.0,-67.10000000000002,15,667.0
530.0,-136.0,15,705.0
535.0,-149.69999999999993,16,760.0
540.0,-126.0,17,827.0
545.0,-157.10000000000002,17,912.0
550.0,-157.10000000000002,15,862.0
555.0,-86.79999999999995,12,690.0
560.0,87.30000000000007,10,549.0
565.0,72.80000000000007,8,480.0
570.0,16.100000000000023,7,414.0
575.0,17.30000000000001,8,361.0
580.0,9.900000000000034,8,358.0
585.0,-43.89999999999998,11,387.0
590.0,-43.89999999999998,12,410.0
595.0,-95.59999999999997,15,437.0
600.0,-37.39999999999998,15,473.0
605.0,-37.39999999999998,18,495.0
610.0,-109.80000000000001,21,539.0
615.0,-150.5,18,568.0
620.0,-21.600000000000023,16,529.0
625.0,-43.80000000000001,15,576.0
630.0,-62.599999999999966,12,579.0
635.0,-62.599999999999966,10,590.0
640.0,-101.39999999999998,11,581.0
645.0,-53.0,14,648.0
650.0,-136.29999999999995,17,649.0
655.0,-77.0,15,695.0
660.0,-77.0,12,724.0
665.0,-135.0,11,753.0
670.0,-79.69999999999993,17,798.0
675.0,-79.69999999999993,18,834.0
680.0,-157.19999999999993,15,832.0
685.0,-81.39999999999998,13,823.0
690.0,-74.19999999999993,14,829.0
695.0,-88.29999999999995,14,770.0
700.0,-66.89999999999998,17,846.0
705.0,-66.89999999999998,20,904.0
710.0,-191.29999999999995,17,964.0
715.0,-120.29999999999995,18,1019.0
720.0,-94.10000000000002,19,854.0
725.0,-25.0,22,902.0
730.0,-25.0,22,950.0
735.0,-199.0,18,977.0
740.0,-64.10000000000002,15,950.0
745.0,-68.60000000000002,13,919.0
750.0,-63.89999999999998,13,871.0
755.0,-56.0,13,905.0
760.0,-56.0,12,898.0
765.0,-118.60000000000002,13,932.0
770.0,-156.79999999999995,9,951.0
775.0,-80.5,11,971.0
780.0,-80.5,15,957.0
785.0,-118.89999999999998,17,1039.0
790.0,-204.29999999999995,13,1080.0
795.0,-150.0,14,1136.0
800.0,-169.19999999999993,15,1194.0
805.0,-169.19999999999993,18,1189.0
