step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,-2.0,1,5.0
100.0,-5.2,1,10.0
105.0,-5.2,0,0.0
110.0,6.3,0,0.0
115.0,0.0,0,0.0
120.0,0.0,0,0.0
125.0,0.0,0,0.0
130.0,0.0,0,0.0
135.0,0.0,0,0.0
140.0,-1.0,1,4.0
145.0,-5.1,2,11.0
150.0,-5.1,3,22.0
155.0,-16.6,1,17.0
160.0,2.8000000000000007,0,6.0
165.0,15.3,0,0.0
170.0,15.3,0,0.0
175.0,0.0,0,0.0
180.0,0.0,0,0.0
185.0,0.0,0,0.0
190.0,0.0,0,0.0
195.0,0.0,0,0.0
200.0,0.0,0,0.0
205.0,0.0,0,0.0
210.0,0.0,0,0.0
215.0,0.0,1,2.0
220.0,-3.0,1,7.0
225.0,-12.3,2,17.0
230.0,-12.3,2,18.0
235.0,-8.5,2,28.0
240.0,-8.5,1,11.0
245.0,8.8,0,0.0
250.0,9.9,1,2.0
255.0,9.9,2,9.0
260.0,-11.0,3,23.0
265.0,-16.1,2,21.0
270.0,-5.599999999999998,2,31.0
275.0,-5.599999999999998,3,46.0
280.0,-25.9,5,64.0
285.0,-25.9,4,61.0
290.0,-14.199999999999996,4,46.0
295.0,8.899999999999999,4,62.0
300.0,-20.6,2,61.0
305.0,-11.199999999999996,3,73.0
310.0,-11.199999999999996,5,90.0
315.0,-34.699999999999996,4,114.0
320.0,-17.5,4,107.0
325.0,-17.5,3,109.0
330.0,-22.299999999999997,4,125.0
335.0,-22.299999999999997,6,151.0
340.0,-47.5,5,118.0
345.0,8.900000000000006,1,130.0
350.0,8.900000000000006,5,148.0
355.0,-39.7,7,180.0
360.0,-62.400000000000006,7,208.0
365.0,-62.400000000000006,9,247.0
370.0,-84.1,9,292.0
375.0,-84.1,8,325.0
380.0,-86.5,7,271.0
385.0,2.5,6,302.0
390.0,2.5,9,335.0
395.0,-83.0,9,382.0
400.0,-90.39999999999998,9,409.0
405.0,-90.39999999999998,8,391.0
410.0,-47.0,10,434.0
415.0,-47.0,9,468.0
420.0,-101.69999999999999,9,467.0
425.0,-75.80000000000001,11,515.0
430.0,-100.69999999999999,11,570.0
435.0,-109.80000000000001,11,625.0
440.0,-115.29999999999995,11,680.0
445.0,-115.29999999999995,12,713.0
450.0,-132.79999999999995,12,774.0
455.0,-32.5,8,693.0
460.0,-32.5,8,730.0
465.0,-132.5,15,788.0
470.0,-132.5,14,743.0
475.0,-68.89999999999998,13,723.0
480.0,-94.29999999999995,12,723.0
485.0,-24.299999999999955,15,740.0
490.0,-24.299999999999955,16,795.0
495.0,-172.10000000000002,21,890.0
500.0,-201.19999999999993,19,951.0
505.0,-201.19999999999993,19,1012.0
510.0,-212.19999999999993,21,1110.0
515.0,-212.19999999999993,21,1168.0
520.0,-222.10000000000002,22,1116.0
525.0,-128.79999999999995,21,1222.0
530.0,-128.79999999999995,22,1274.0
535.0,-233.0,23,1383.0
540.0,-149.5,24,1186.0
545.0,25.5,25,1183.0
550.0,-74.79999999999995,25,1142.0
555.0,-74.79999999999995,26,1201.0
560.0,-246.69999999999993,25,1328.0
565.0,-246.69999999999993,23,1357.0
570.0,-230.20000000000005,23,1318.0
575.0,-96.70000000000005,18,1342.0
580.0,-211.79999999999995,19,1435.0
585.0,-211.79999999999995,19,1463.0
590.0,-223.79999999999995,27,1575.0
595.0,-237.20000000000005,29,1600.0
600.0,-237.20000000000005,27,1647.0
605.0,-289.0999999999999,30,1790.0
610.0,-289.0999999999999,29,1867.0
615.0,-334.29999999999995,31,1905.0
620.0,-319.70000000000005,35,2069.0
625.0,-319.70000000000005,36,2143.0
630.0,-380.0,37,2328.0
635.0,-394.0,37,2393.0
640.0,-394.0,33,2456.0
645.0,-400.5999999999999,35,2623.0
650.0,-400.5999999999999,33,2660.0
655.0,-391.0999999999999,32,2716.0
660.0,-424.0,38,2803.0
665.0,-302.7999999999997,43,2845.0
670.0,-353.9000000000001,43,2996.0
675.0,-353.9000000000001,42,3090.0
680.0,-512.9000000000001,42,3298.0
685.0,-581.0999999999999,42,3441.0
690.0,-581.0999999999999,47,3507.0
695.0,-541.9000000000001,46,3738.0
700.0,-541.9000000000001,44,3903.0
705.0,-662.0999999999999,47,3970.0
710.0,-595.2999999999997,47,4199.0
715.0,-595.2999999999997,45,4240.0
720.0,-588.7999999999997,49,4485.0
725.0,-743.5999999999999,49,4650.0
730.0,-743.5999999999999,47,4700.0
735.0,-657.0999999999995,49,4943.0
740.0,-657.0999999999995,41,4982.0
745.0,-663.8000000000002,44,4913.0
750.0,-429.1999999999998,47,5051.0
755.0,-764.3000000000002,44,5194.0
760.0,-588.5999999999995,47,5349.0
765.0,-588.5999999999995,52,5396.0
770.0,-716.5999999999995,54,5290.0
775.0,-442.6999999999998,58,5570.0
780.0,-862.5,58,5731.0
785.0,-862.5,55,5813.0
