step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,1,2.0
70.0,-2.0,1,7.0
75.0,-8.2,1,12.0
80.0,-8.2,0,0.0
85.0,9.0,0,0.0
90.0,-3.0,1,4.0
95.0,-3.0,1,9.0
100.0,-8.3,1,14.0
105.0,-8.3,1,19.0
110.0,-9.1,1,24.0
115.0,-6.899999999999999,2,30.0
120.0,-8.399999999999999,1,6.0
125.0,18.0,1,11.0
130.0,-5.9,1,16.0
135.0,-5.9,1,21.0
140.0,-9.4,0,25.0
145.0,19.8,1,1.0
150.0,19.8,2,8.0
155.0,-12.0,2,18.0
160.0,-12.0,0,8.0
165.0,2.8000000000000007,1,11.0
170.0,-6.8,1,16.0
175.0,-6.8,1,21.0
180.0,-9.4,0,25.0
185.0,19.8,0,0.0
190.0,0.0,0,0.0
195.0,0.0,0,0.0
200.0,0.0,0,0.0
205.0,0.0,0,0.0
210.0,0.0,0,0.0
215.0,0.0,0,0.0
220.0,-7.0,3,13.0
225.0,-7.0,3,22.0
230.0,-18.7,3,37.0
235.0,-8.5,2,33.0
240.0,-8.5,1,22.0
245.0,3.900000000000002,2,29.0
250.0,3.900000000000002,2,19.0
255.0,2.6000000000000014,3,33.0
260.0,-28.9,5,56.0
265.0,-28.9,3,47.0
270.0,-8.600000000000001,5,52.0
275.0,-12.0,6,81.0
280.0,-40.699999999999996,7,99.0
285.0,-40.699999999999996,6,118.0
290.0,-47.2,7,151.0
295.0,-47.2,6,173.0
300.0,-56.0,5,158.0
305.0,-13.299999999999983,4,133.0
310.0,38.099999999999994,5,123.0
315.0,38.099999999999994,6,140.0
320.0,-43.39999999999999,6,170.0
325.0,-44.599999999999994,5,162.0
330.0,-24.599999999999994,6,189.0
335.0,-24.599999999999994,9,228.0
340.0,-81.29999999999998,9,273.0
345.0,-81.29999999999998,6,252.0
350.0,-30.599999999999994,10,292.0
355.0,-95.19999999999999,10,342.0
360.0,-95.19999999999999,8,348.0
365.0,-66.19999999999999,9,390.0
370.0,-8.599999999999966,5,334.0
375.0,-8.599999999999966,4,331.0
380.0,-45.89999999999998,10,368.0
385.0,-45.89999999999998,11,417.0
390.0,-109.19999999999999,11,472.0
395.0,-96.69999999999999,10,506.0
400.0,-113.19999999999999,11,560.0
405.0,-113.19999999999999,11,615.0
410.0,-141.8,11,670.0
415.0,-118.60000000000002,13,731.0
420.0,-130.19999999999993,12,795.0
425.0,-169.39999999999998,14,853.0
430.0,-169.39999999999998,11,836.0
435.0,-99.89999999999998,9,818.0
440.0,-18.5,10,783.0
445.0,-72.79999999999995,10,812.0
450.0,-72.79999999999995,7,692.0
455.0,11.800000000000068,3,685.0
460.0,-74.19999999999993,8,711.0
465.0,-74.19999999999993,11,626.0
470.0,-9.699999999999932,8,552.0
475.0,131.30000000000007,11,484.0
480.0,-117.19999999999999,14,529.0
485.0,-117.19999999999999,16,577.0
490.0,-144.5,18,659.0
495.0,-144.5,16,717.0
500.0,-169.79999999999995,21,778.0
505.0,-132.69999999999993,21,737.0
510.0,-98.79999999999995,20,839.0
515.0,-98.79999999999995,20,928.0
520.0,-229.89999999999998,22,1023.0
525.0,-190.89999999999998,23,1136.0
530.0,-217.5,20,1118.0
535.0,-93.79999999999995,17,1153.0
540.0,-93.79999999999995,16,1079.0
545.0,-87.60000000000002,17,1157.0
550.0,-87.60000000000002,20,1228.0
555.0,-229.0,23,1198.0
560.0,-160.79999999999995,22,1210.0
565.0,-48.59999999999991,21,1183.0
570.0,-144.79999999999995,22,1232.0
575.0,-198.39999999999986,23,1337.0
580.0,-198.39999999999986,20,1402.0
585.0,-260.0999999999999,20,1502.0
590.0,-173.20000000000005,20,1473.0
595.0,-173.20000000000005,20,1544.0
600.0,-276.29999999999995,22,1617.0
605.0,-225.39999999999986,26,1727.0
610.0,-225.39999999999986,29,1741.0
615.0,-255.0999999999999,27,1763.0
620.0,-271.0999999999999,24,1887.0
625.0,-271.0999999999999,26,1994.0
630.0,-366.79999999999995,28,2132.0
635.0,-287.0999999999999,26,2132.0
640.0,-287.0999999999999,29,2217.0
645.0,-377.5999999999999,29,2356.0
650.0,-377.5999999999999,32,2354.0
655.0,-308.29999999999995,33,2477.0
660.0,-456.4000000000001,33,2641.0
665.0,-456.4000000000001,36,2649.0
670.0,-368.5,39,2541.0
675.0,-163.5999999999999,39,2741.0
680.0,-492.0999999999999,37,2789.0
685.0,-339.5,39,2912.0
690.0,-339.5,41,3050.0
695.0,-548.2999999999997,41,3196.0
700.0,-406.4000000000001,44,3304.0
705.0,-440.6999999999998,44,3432.0
710.0,-473.5,46,3618.0
715.0,-473.5,45,3659.0
720.0,-523.4000000000001,45,3615.0
725.0,-321.9000000000001,41,3663.0
730.0,-409.5,42,3729.0
735.0,-432.2999999999997,44,3723.0
740.0,-497.9000000000001,47,3946.0
745.0,-497.9000000000001,45,4116.0
750.0,-691.4000000000001,42,4226.0
755.0,-523.0,37,4420.0
760.0,-654.6999999999998,38,4533.0
765.0,-654.6999999999998,36,4588.0
770.0,-616.5,40,4658.0
