step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,1,1.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,0.0,0,0.0
120.0,0.0,0,0.0
125.0,0.0,0,0.0
130.0,0.0,0,0.0
135.0,0.0,0,0.0
140.0,0.0,0,0.0
145.0,0.0,1,1.0
150.0,0.0,1,6.0
155.0,-7.0,1,4.0
160.0,2.3,1,5.0
165.0,2.3,1,10.0
170.0,-8.4,1,15.0
175.0,-8.4,0,0.0
180.0,10.8,0,0.0
185.0,0.0,0,0.0
190.0,0.0,0,0.0
195.0,0.0,0,0.0
200.0,0.0,0,0.0
205.0,0.0,0,0.0
210.0,0.0,0,0.0
215.0,0.0,1,2.0
220.0,0.0,2,12.0
225.0,-12.0,4,31.0
230.0,-20.2,4,38.0
235.0,-22.099999999999998,4,58.0
240.0,-25.0,4,78.0
245.0,-25.0,4,98.0
250.0,-39.0,5,121.0
255.0,-14.200000000000003,4,110.0
260.0,-14.200000000000003,4,90.0
265.0,-2.5999999999999943,5,113.0
270.0,-2.5999999999999943,6,143.0
275.0,-54.8,6,155.0
280.0,-39.29999999999998,6,179.0
285.0,-39.29999999999998,7,164.0
290.0,-19.799999999999983,7,172.0
295.0,-25.099999999999994,6,137.0
300.0,9.099999999999994,4,156.0
305.0,9.099999999999994,6,180.0
310.0,-55.19999999999999,7,212.0
315.0,-55.19999999999999,7,247.0
320.0,-74.19999999999999,7,282.0
325.0,-59.69999999999999,7,317.0
330.0,-63.19999999999999,5,282.0
335.0,-9.699999999999989,4,303.0
340.0,-9.699999999999989,6,328.0
345.0,-69.5,9,281.0
350.0,-8.5,7,317.0
355.0,-8.5,10,355.0
360.0,-96.0,10,405.0
365.0,-96.0,7,368.0
370.0,-30.5,7,377.0
375.0,-68.80000000000001,8,389.0
380.0,-36.0,11,416.0
385.0,-36.0,8,370.0
390.0,-20.599999999999966,8,407.0
395.0,-73.69999999999999,9,411.0
400.0,-75.30000000000001,9,456.0
405.0,-75.30000000000001,6,387.0
410.0,3.3000000000000114,7,418.0
415.0,3.3000000000000114,9,433.0
420.0,-73.89999999999998,8,361.0
425.0,9.699999999999989,6,391.0
430.0,9.699999999999989,9,427.0
435.0,-95.0,9,476.0
440.0,-38.69999999999999,5,437.0
445.0,-38.69999999999999,5,351.0
450.0,27.80000000000001,9,383.0
455.0,27.80000000000001,7,370.0
460.0,-45.099999999999966,7,307.0
465.0,2.0,8,346.0
470.0,2.0,13,378.0
475.0,-95.09999999999997,17,458.0
480.0,-121.30000000000001,19,549.0
485.0,-108.5,17,502.0
490.0,-68.59999999999997,18,569.0
495.0,-68.59999999999997,18,571.0
500.0,-111.09999999999997,19,663.0
505.0,-111.09999999999997,16,728.0
510.0,-181.69999999999993,18,771.0
515.0,-115.79999999999995,22,771.0
520.0,-138.10000000000002,21,874.0
525.0,-138.10000000000002,16,942.0
530.0,-211.19999999999993,21,1041.0
535.0,-167.0,21,1052.0
540.0,-167.0,18,1130.0
545.0,-237.10000000000002,20,1222.0
550.0,-237.10000000000002,22,1162.0
555.0,-113.5,22,1201.0
560.0,-155.20000000000005,22,1248.0
565.0,-231.0999999999999,24,1308.0
570.0,-167.20000000000005,26,1400.0
575.0,-167.20000000000005,24,1440.0
580.0,-249.79999999999995,22,1472.0
585.0,-108.29999999999995,23,1515.0
590.0,-264.5,23,1570.0
595.0,-264.5,26,1660.0
600.0,-321.70000000000005,31,1805.0
605.0,-321.70000000000005,33,1887.0
610.0,-344.39999999999986,32,1978.0
615.0,-375.70000000000005,34,2141.0
620.0,-375.70000000000005,32,2275.0
625.0,-439.39999999999986,36,2442.0
630.0,-423.5999999999999,39,2538.0
635.0,-423.5999999999999,40,2576.0
640.0,-405.9000000000001,39,2773.0
645.0,-405.9000000000001,35,2928.0
650.0,-538.5,38,3024.0
655.0,-504.7999999999997,38,3129.0
660.0,-328.0,35,3226.0
665.0,-328.0,31,3276.0
670.0,-468.4000000000001,33,3273.0
675.0,-331.6999999999998,41,3462.0
680.0,-575.7999999999997,42,3595.0
685.0,-575.7999999999997,42,3606.0
690.0,-490.2999999999997,40,3612.0
695.0,-183.79999999999973,41,3624.0
700.0,-183.79999999999973,43,3759.0
705.0,-606.2999999999997,40,3878.0
710.0,-604.9000000000001,33,3971.0
715.0,-397.7999999999997,33,4053.0
720.0,-397.7999999999997,42,4036.0
725.0,-489.6999999999998,46,4256.0
730.0,-668.7999999999997,47,4386.0
735.0,-668.7999999999997,47,4528.0
740.0,-715.9000000000001,45,4756.0
745.0,-715.9000000000001,44,4888.0
750.0,-729.0999999999995,40,4989.0
755.0,-711.8000000000002,45,5088.0
760.0,-533.0999999999995,51,5143.0
765.0,-596.3000000000002,55,5326.0
770.0,-596.3000000000002,54,5505.0
775.0,-863.5999999999995,55,5775.0
780.0,-902.8000000000002,56,5961.0
