step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,-0.04,1,5.0
120.0,-0.04,1,10.0
125.0,-0.07,0,0.0
130.0,0.11,0,0.0
135.0,0.11,0,0.0
140.0,0.0,0,0.0
145.0,0.0,0,0.0
150.0,0.0,0,0.0
155.0,0.0,0,0.0
160.0,0.0,0,0.0
165.0,0.0,0,0.0
170.0,0.0,1,5.0
175.0,-0.05,0,0.0
180.0,0.05,0,0.0
185.0,0.0,0,0.0
190.0,0.0,1,3.0
195.0,-0.04,0,0.0
200.0,0.04,1,2.0
205.0,0.04,1,7.0
210.0,-0.07,1,12.0
215.0,-0.04999999999999999,1,17.0
220.0,-0.05000000000000002,2,26.0
225.0,-0.12999999999999998,2,36.0
230.0,-0.14,2,46.0
235.0,-0.14,2,56.0
240.0,-0.13999999999999996,2,66.0
245.0,-0.18000000000000005,4,84.0
250.0,-0.18000000000000005,2,48.0
255.0,0.28,3,52.0
260.0,-0.09999999999999998,3,67.0
265.0,-0.21000000000000008,3,82.0
270.0,-0.21000000000000008,3,97.0
275.0,-0.21999999999999997,4,117.0
280.0,-0.19999999999999996,3,77.0
285.0,0.31999999999999995,4,97.0
290.0,0.31999999999999995,4,117.0
295.0,-0.2799999999999999,4,137.0
300.0,-0.20000000000000018,4,157.0
305.0,-0.19999999999999996,3,144.0
310.0,0.07000000000000006,3,136.0
315.0,0.08000000000000007,2,150.0
320.0,0.6199999999999999,2,82.0
325.0,0.6199999999999999,2,72.0
330.0,0.06000000000000005,4,90.0
335.0,-0.19999999999999996,4,98.0
340.0,-0.18999999999999995,6,124.0
345.0,-0.18999999999999995,5,144.0
350.0,-0.31000000000000005,5,169.0
355.0,-0.25,6,198.0
360.0,-0.29000000000000004,7,232.0
365.0,-0.33999999999999986,7,267.0
370.0,-0.3500000000000001,7,302.0
375.0,-0.3500000000000001,6,301.0
380.0,-0.10999999999999988,5,330.0
385.0,0.19999999999999973,4,268.0
390.0,0.050000000000000266,7,295.0
395.0,-0.3500000000000001,7,330.0
400.0,-0.3500000000000001,3,218.0
405.0,1.02,3,219.0
410.0,-0.08000000000000007,5,239.0
415.0,-0.08000000000000007,8,276.0
420.0,-0.46999999999999975,8,316.0
425.0,-0.56,9,358.0
430.0,-0.4500000000000002,9,406.0
435.0,-0.2799999999999998,9,390.0
440.0,0.009999999999999787,9,413.0
445.0,0.009999999999999787,6,431.0
450.0,-0.33999999999999986,8,452.0
455.0,-0.3799999999999999,8,492.0
460.0,-0.3799999999999999,10,542.0
465.0,-0.6600000000000001,11,593.0
470.0,-0.5099999999999998,10,634.0
475.0,-0.6299999999999999,12,690.0
480.0,-0.6100000000000003,13,758.0
485.0,-0.9000000000000004,15,822.0
490.0,-0.9000000000000004,13,738.0
495.0,0.5700000000000003,10,644.0
500.0,2.2199999999999998,9,467.0
505.0,1.3400000000000003,10,426.0
510.0,-0.6599999999999997,13,486.0
515.0,-0.6599999999999997,14,504.0
520.0,-0.4400000000000004,10,529.0
525.0,-0.5,19,605.0
530.0,-1.13,21,684.0
535.0,-1.04,22,793.0
540.0,-1.1399999999999997,24,909.0
545.0,-1.2300000000000004,25,1033.0
550.0,-1.2300000000000004,23,1084.0
555.0,-0.9800000000000004,20,1084.0
560.0,0.030000000000001137,17,1134.0
565.0,-0.120000000000001,17,1109.0
570.0,-0.4599999999999991,21,1202.0
575.0,-0.4599999999999991,21,1266.0
580.0,-1.0500000000000007,23,1371.0
585.0,-1.5399999999999991,28,1488.0
590.0,-1.1400000000000006,31,1625.0
595.0,-1.5399999999999991,31,1719.0
600.0,-1.5399999999999991,25,1692.0
605.0,-0.2900000000000027,26,1805.0
610.0,-1.6699999999999982,28,1926.0
615.0,-1.1000000000000014,28,2050.0
620.0,-1.1000000000000014,30,2125.0
625.0,-1.3099999999999987,30,2136.0
630.0,-0.10999999999999943,31,2279.0
635.0,-2.039999999999999,32,2437.0
640.0,-1.6000000000000014,34,2534.0
645.0,-1.6000000000000014,33,2689.0
650.0,-2.2300000000000004,37,2845.0
655.0,-1.5999999999999979,38,2825.0
660.0,1.2999999999999972,35,2824.0
665.0,1.2999999999999972,28,2860.0
670.0,-1.0700000000000003,23,2971.0
675.0,-1.5700000000000003,28,3097.0
680.0,0.020000000000003126,27,3042.0
685.0,0.020000000000003126,26,3058.0
690.0,-0.7000000000000028,26,3080.0
695.0,-0.7199999999999989,29,3211.0
700.0,-0.7199999999999989,26,3217.0
705.0,-0.6000000000000014,30,3119.0
710.0,0.9800000000000004,29,3226.0
715.0,-1.6699999999999982,30,3376.0
720.0,-0.0799999999999983,32,3326.0
725.0,-0.0799999999999983,32,3452.0
730.0,-1.8900000000000006,34,3489.0
735.0,-1.0700000000000003,37,3662.0
740.0,-1.0700000000000003,42,3818.0
