step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,-0.03,1,5.0
120.0,-0.05,1,10.0
125.0,-0.05,0,0.0
130.0,0.08,0,0.0
135.0,0.0,0,0.0
140.0,0.0,0,0.0
145.0,0.0,0,0.0
150.0,0.0,0,0.0
155.0,0.0,0,0.0
160.0,0.0,0,0.0
165.0,0.0,1,2.0
170.0,-0.02,1,7.0
175.0,-0.05,1,12.0
180.0,-0.04999999999999999,1,17.0
185.0,-0.07,1,22.0
190.0,-0.07,2,32.0
195.0,-0.14,2,42.0
200.0,-0.14,3,54.0
205.0,-0.16999999999999993,3,69.0
210.0,-0.15000000000000002,3,84.0
215.0,-0.15000000000000002,4,100.0
220.0,-0.2500000000000001,4,120.0
225.0,-0.19999999999999996,4,140.0
230.0,-0.19999999999999996,4,160.0
235.0,-0.28,4,180.0
240.0,-0.2799999999999998,4,200.0
245.0,-0.33000000000000007,6,227.0
250.0,-0.33000000000000007,5,250.0
255.0,-0.33999999999999986,4,186.0
260.0,0.6199999999999999,2,197.0
265.0,0.6199999999999999,5,216.0
270.0,-0.2300000000000002,2,159.0
275.0,0.5100000000000002,3,175.0
280.0,0.11999999999999988,3,156.0
285.0,0.11999999999999988,3,100.0
290.0,0.5,2,98.0
295.0,-0.010000000000000009,2,108.0
300.0,-0.010000000000000009,2,55.0
305.0,0.49,3,70.0
310.0,-0.20999999999999996,2,84.0
315.0,0.36,2,42.0
320.0,0.36,1,20.0
325.0,0.19000000000000003,4,34.0
330.0,-0.25,4,54.0
335.0,-0.25,3,39.0
340.0,0.07,5,54.0
345.0,-0.25,4,78.0
350.0,-0.08999999999999997,3,76.0
355.0,-0.08999999999999997,2,58.0
360.0,0.12,5,62.0
365.0,-0.06000000000000005,5,87.0
370.0,-0.25,3,64.0
375.0,0.19000000000000006,4,80.0
380.0,0.19000000000000006,2,61.0
385.0,0.12,3,75.0
390.0,-0.20000000000000007,4,92.0
395.0,-0.039999999999999925,6,91.0
400.0,-0.039999999999999925,4,77.0
405.0,0.030000000000000027,7,105.0
410.0,-0.45000000000000007,10,146.0
415.0,-0.49,10,196.0
420.0,-0.4999999999999998,11,248.0
425.0,-0.4999999999999998,9,268.0
430.0,-0.4200000000000004,9,280.0
435.0,-0.2799999999999998,10,324.0
440.0,0.1299999999999999,6,289.0
445.0,0.1299999999999999,7,294.0
450.0,-0.17999999999999972,10,325.0
455.0,-0.54,10,375.0
460.0,-0.5,10,425.0
465.0,-0.5,10,460.0
470.0,-0.5499999999999998,10,444.0
475.0,-0.040000000000000036,10,439.0
480.0,0.6099999999999994,9,432.0
485.0,-0.5899999999999999,11,473.0
490.0,-0.5899999999999999,13,489.0
495.0,-0.3899999999999997,13,539.0
500.0,-0.79,16,596.0
505.0,-0.6200000000000001,20,680.0
510.0,-0.6200000000000001,16,709.0
515.0,-0.6699999999999999,18,797.0
520.0,-1.2599999999999998,21,897.0
525.0,-1.0700000000000003,24,1014.0
530.0,-0.9700000000000006,20,1059.0
535.0,-0.9700000000000006,19,1018.0
540.0,0.030000000000001137,20,1109.0
545.0,-1.3600000000000012,23,1216.0
550.0,-1.1600000000000001,25,1338.0
555.0,-1.1600000000000001,23,1398.0
560.0,-1.0999999999999996,22,1414.0
565.0,-0.16000000000000014,22,1428.0
570.0,-0.5899999999999999,22,1539.0
575.0,-1.4100000000000001,23,1637.0
580.0,-1.4100000000000001,25,1595.0
585.0,-0.07000000000000028,27,1630.0
590.0,-0.8900000000000006,23,1661.0
595.0,0.610000000000003,26,1619.0
600.0,0.3099999999999987,27,1595.0
605.0,0.8399999999999999,28,1590.0
610.0,0.8399999999999999,26,1642.0
615.0,-1.0800000000000018,26,1702.0
620.0,-1.129999999999999,27,1837.0
625.0,-1.4499999999999993,32,1932.0
630.0,-1.4499999999999993,33,1887.0
635.0,-0.1999999999999993,33,2003.0
640.0,-1.7600000000000016,32,2158.0
645.0,-1.7600000000000016,28,2140.0
650.0,-0.4399999999999977,28,2172.0
655.0,-0.8800000000000026,26,2308.0
660.0,-0.9100000000000001,25,2344.0
665.0,-0.9100000000000001,28,2370.0
670.0,-0.8099999999999987,35,2461.0
675.0,-1.6900000000000013,36,2570.0
680.0,-0.5499999999999972,40,2703.0
685.0,-0.5499999999999972,37,2776.0
690.0,-1.5200000000000031,36,2911.0
695.0,-2.0699999999999967,39,3097.0
700.0,-0.7700000000000031,41,3101.0
705.0,-0.7700000000000031,38,3250.0
710.0,-2.269999999999996,38,3322.0
715.0,-1.4500000000000028,40,3510.0
720.0,-1.4500000000000028,36,3508.0
725.0,-0.759999999999998,34,3627.0
730.0,-1.8599999999999994,34,3793.0
735.0,-0.6700000000000017,37,3634.0
740.0,1.0600000000000023,40,3695.0
745.0,1.0600000000000023,37,3735.0
