step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,-0.04,1,5.0
120.0,-0.049999999999999996,1,10.0
125.0,-0.049999999999999996,1,15.0
130.0,-0.07,1,20.0
135.0,-0.07,1,25.0
140.0,-0.07,0,0.0
145.0,0.23,0,0.0
150.0,0.0,0,0.0
155.0,0.0,0,0.0
160.0,0.0,0,0.0
165.0,0.0,1,1.0
170.0,-0.03,0,5.0
175.0,0.03,0,0.0
180.0,0.03,0,0.0
185.0,0.0,0,0.0
190.0,-0.02,1,4.0
195.0,-0.05,1,9.0
200.0,-0.05,0,0.0
205.0,0.07,1,3.0
210.0,-0.05,0,7.0
215.0,0.05,0,0.0
220.0,0.05,1,5.0
225.0,-0.06,0,0.0
230.0,0.06,0,0.0
235.0,0.06,0,0.0
240.0,0.0,0,0.0
245.0,0.0,1,3.0
250.0,-0.07,1,8.0
255.0,-0.07,2,17.0
260.0,-0.12,2,27.0
265.0,-0.14,2,37.0
270.0,-0.14,2,47.0
275.0,-0.13999999999999996,1,27.0
280.0,0.18,1,32.0
285.0,0.019999999999999962,1,28.0
290.0,0.019999999999999962,1,5.0
295.0,0.21000000000000002,1,10.0
300.0,-0.07,1,15.0
305.0,-0.07,1,20.0
310.0,-0.07,1,25.0
315.0,-0.07,1,30.0
320.0,-0.04999999999999999,2,38.0
325.0,-0.09999999999999998,3,50.0
330.0,-0.14999999999999997,3,68.0
335.0,0.21999999999999997,4,39.0
340.0,0.21999999999999997,4,50.0
345.0,-0.19000000000000006,5,74.0
350.0,-0.35,5,99.0
355.0,-0.35,5,106.0
360.0,-0.17000000000000004,5,126.0
365.0,-0.31999999999999984,5,155.0
370.0,0.10999999999999988,3,130.0
375.0,0.10999999999999988,3,96.0
380.0,0.28,3,75.0
385.0,0.20999999999999996,4,91.0
390.0,-0.27,5,115.0
395.0,-0.27,6,144.0
400.0,-0.27,4,111.0
405.0,0.20999999999999996,7,140.0
410.0,-0.42999999999999994,7,177.0
415.0,-0.1499999999999999,8,177.0
420.0,-0.1499999999999999,4,177.0
425.0,-0.1200000000000001,5,192.0
430.0,-0.29000000000000004,7,223.0
435.0,-0.29000000000000004,9,265.0
440.0,-0.5499999999999998,6,227.0
445.0,0.2599999999999998,8,261.0
450.0,-0.56,9,304.0
455.0,-0.56,7,317.0
460.0,-0.2999999999999998,8,287.0
465.0,0.18999999999999995,6,271.0
470.0,0.22999999999999998,10,303.0
475.0,0.22999999999999998,10,334.0
480.0,-0.5099999999999998,11,373.0
485.0,-0.6200000000000001,14,436.0
490.0,-0.79,12,487.0
495.0,-0.79,13,497.0
500.0,-0.33999999999999986,12,544.0
505.0,-0.71,14,594.0
510.0,-0.5200000000000005,16,664.0
515.0,-0.5200000000000005,16,715.0
520.0,-0.8300000000000001,19,735.0
525.0,-0.5699999999999994,17,824.0
530.0,-0.8500000000000005,18,845.0
535.0,-0.5899999999999999,21,937.0
540.0,-0.5899999999999999,19,1009.0
545.0,-1.1099999999999994,18,1092.0
550.0,-1.1900000000000013,20,1185.0
555.0,-1.1900000000000013,20,1131.0
560.0,0.15000000000000036,19,941.0
565.0,1.9000000000000004,21,873.0
570.0,0.6799999999999997,20,956.0
575.0,-1.2199999999999989,23,1042.0
580.0,-0.8000000000000007,27,1154.0
585.0,-1.2300000000000004,26,1224.0
590.0,-1.2300000000000004,23,1243.0
595.0,-0.6799999999999997,24,1336.0
600.0,-1.42,24,1455.0
605.0,-1.42,26,1504.0
610.0,-0.9599999999999991,26,1612.0
615.0,-1.5899999999999999,29,1745.0
620.0,-1.1799999999999997,31,1812.0
625.0,-1.1799999999999997,30,1831.0
630.0,-0.8100000000000023,31,1904.0
635.0,-1.3299999999999983,29,1977.0
640.0,-0.03999999999999915,28,2003.0
645.0,-0.5100000000000016,34,2117.0
650.0,-0.5100000000000016,34,2157.0
655.0,-1.0700000000000003,32,2269.0
660.0,-1.7199999999999989,29,2360.0
665.0,-0.33000000000000185,30,2449.0
670.0,-0.8200000000000003,31,2475.0
675.0,-0.8200000000000003,30,2568.0
680.0,-1.5399999999999991,33,2666.0
685.0,-1.6799999999999997,36,2838.0
690.0,-1.6799999999999997,33,2954.0
695.0,-1.879999999999999,37,2982.0
700.0,-1.0300000000000011,39,3031.0
705.0,0.8099999999999987,36,2972.0
710.0,0.3200000000000003,36,3053.0
715.0,-1.8099999999999987,38,3163.0
720.0,-1.8099999999999987,39,3287.0
725.0,-2.009999999999998,40,3387.0
730.0,-1.7899999999999991,42,3588.0
735.0,-1.7899999999999991,43,3580.0
740.0,-0.75,40,3718.0
745.0,-2.200000000000003,39,3920.0
750.0,-1.7700000000000031,41,4018.0
755.0,-1.7700000000000031,36,3983.0
760.0,-0.4099999999999966,40,4092.0
765.0,-1.9299999999999997,43,4240.0
