step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,-0.01,1,3.0
55.0,-0.01,1,8.0
60.0,-0.07,1,13.0
65.0,-0.05,1,18.0
70.0,-0.07,1,23.0
75.0,-0.08000000000000002,2,30.0
80.0,-0.08000000000000002,5,45.0
85.0,-0.21999999999999997,4,33.0
90.0,0.08000000000000002,3,37.0
95.0,0.02999999999999997,3,45.0
100.0,0.02999999999999997,7,69.0
105.0,-0.29999999999999993,10,115.0
110.0,-0.45999999999999996,11,147.0
115.0,-0.5800000000000001,13,213.0
120.0,-0.5100000000000002,12,200.0
125.0,-0.08999999999999986,13,246.0
130.0,-0.08999999999999986,12,288.0
135.0,-0.6699999999999999,14,332.0
140.0,-0.7799999999999998,19,390.0
145.0,-0.6099999999999999,24,487.0
150.0,-0.6099999999999999,23,574.0
155.0,-1.3500000000000005,22,629.0
160.0,-0.5499999999999998,22,694.0
165.0,-1.0700000000000003,23,803.0
170.0,-1.2999999999999998,25,891.0
175.0,-1.2999999999999998,24,969.0
180.0,-1.2899999999999991,28,1043.0
185.0,-0.75,31,1152.0
190.0,-1.8200000000000003,35,1322.0
195.0,-1.8200000000000003,38,1469.0
200.0,-2.17,40,1620.0
205.0,-2.360000000000001,44,1835.0
210.0,-2.759999999999998,46,1995.0
215.0,-1.7600000000000016,47,2204.0
220.0,-1.7600000000000016,49,2331.0
225.0,-2.25,57,2474.0
230.0,-0.3299999999999983,57,2568.0
235.0,-3.34,63,2874.0
240.0,-3.34,68,3153.0
245.0,-4.040000000000003,70,3443.0
250.0,-2.8999999999999986,68,3657.0
255.0,-3.469999999999999,69,3999.0
260.0,-3.990000000000002,70,4171.0
265.0,-1.8299999999999983,70,4442.0
270.0,-1.8299999999999983,72,4690.0
275.0,-3.8999999999999986,74,4848.0
280.0,-1.6000000000000014,75,5135.0
285.0,-4.3700000000000045,74,5509.0
290.0,-4.3700000000000045,76,5773.0
295.0,-4.1399999999999935,76,6091.0
300.0,-4.690000000000005,76,6471.0
305.0,-3.489999999999995,73,6501.0
310.0,-0.480000000000004,72,6711.0
315.0,-0.480000000000004,72,6955.0
320.0,-3.8900000000000006,76,7197.0
325.0,-3.8799999999999955,74,7562.0
330.0,-3.8799999999999955,74,7794.0
335.0,-3.780000000000001,71,8019.0
340.0,-3.719999999999999,75,8260.0
345.0,-1.25,71,8373.0
350.0,-3.680000000000007,70,8612.0
355.0,-1.2399999999999949,72,8742.0
360.0,-1.460000000000008,74,9003.0
365.0,-1.460000000000008,76,9253.0
370.0,-4.009999999999991,77,9528.0
375.0,-4.280000000000001,78,9805.0
380.0,-1.6899999999999977,77,10082.0
385.0,-1.6899999999999977,75,10280.0
390.0,-3.530000000000001,75,10505.0
395.0,-3.780000000000001,74,10725.0
400.0,-0.6299999999999955,73,10944.0
405.0,-3.6400000000000006,75,11009.0
410.0,-0.8000000000000114,77,11242.0
415.0,-0.8000000000000114,72,11410.0
420.0,-3.1799999999999926,77,11644.0
425.0,-3.8599999999999994,79,12024.0
430.0,-3.8599999999999994,75,12210.0
435.0,-3.4099999999999966,76,12439.0
440.0,-3.760000000000005,76,12809.0
445.0,-3.309999999999988,73,12804.0
450.0,0.11999999999997613,69,12974.0
455.0,0.11999999999997613,73,13114.0
460.0,-2.799999999999983,72,13281.0
465.0,-3.1599999999999966,75,13650.0
470.0,-3.1599999999999966,75,13830.0
475.0,-3.2900000000000205,72,14014.0
480.0,-3.319999999999993,70,14211.0
485.0,-0.3499999999999943,74,14264.0
490.0,-0.6599999999999966,76,14487.0
495.0,-3.259999999999991,77,14666.0
500.0,-3.259999999999991,77,14831.0
505.0,-3.170000000000016,73,15044.0
510.0,-3.6299999999999955,79,15424.0
515.0,-3.6299999999999955,75,15580.0
520.0,-3.1100000000000136,75,15799.0
525.0,-3.6499999999999773,71,16159.0
530.0,-2.6899999999999977,67,16281.0
535.0,-2.6899999999999977,68,16455.0
540.0,-3.1000000000000227,73,16493.0
545.0,-0.38999999999998636,73,16555.0
550.0,-2.039999999999992,72,16912.0
555.0,-2.039999999999992,71,17035.0
560.0,-2.680000000000007,72,17220.0
565.0,-3.3000000000000114,74,17315.0
570.0,-2.4199999999999875,73,17680.0
575.0,-2.4199999999999875,71,17801.0
580.0,-2.6500000000000057,70,17879.0
585.0,-2.180000000000007,72,18233.0
590.0,-2.180000000000007,72,18269.0
595.0,-1.789999999999992,74,18383.0
600.0,-2.5999999999999943,73,18745.0
605.0,-1.6400000000000148,71,18435.0
610.0,2.9000000000000057,70,18473.0
615.0,2.9000000000000057,71,18536.0
620.0,-2.030000000000001,74,18321.0
625.0,2.1200000000000045,75,18363.0
630.0,-1.920000000000016,73,18732.0
635.0,-1.920000000000016,74,18813.0
640.0,-2.269999999999982,73,18850.0
645.0,-1.8000000000000114,71,18885.0
650.0,2.700000000000017,72,18936.0
655.0,-2.0200000000000102,73,18998.0
660.0,-2.0200000000000102,69,19042.0
665.0,-1.8700000000000045,75,18794.0
670.0,2.430000000000007,75,18846.0
675.0,-1.9399999999999977,77,19213.0
680.0,-1.9399999999999977,74,19312.0
685.0,-2.490000000000009,72,19368.0
