step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,1,1.0
115.0,-0.02,1,6.0
120.0,-0.06999999999999999,1,11.0
125.0,-0.05000000000000002,1,16.0
130.0,-0.04999999999999999,1,21.0
135.0,-0.04999999999999999,1,26.0
140.0,-0.04999999999999999,1,31.0
145.0,-0.050000000000000044,1,36.0
150.0,-0.04999999999999999,1,41.0
155.0,-0.04999999999999999,1,46.0
160.0,-0.04999999999999999,1,51.0
165.0,-0.050000000000000044,2,58.0
170.0,-0.09999999999999998,2,68.0
175.0,-0.09999999999999998,2,78.0
180.0,-0.14,2,88.0
185.0,-0.14,2,98.0
190.0,-0.17000000000000004,3,112.0
195.0,-0.17000000000000004,4,128.0
200.0,-0.22999999999999998,4,148.0
205.0,-0.28,4,168.0
210.0,-0.28,4,188.0
215.0,-0.2799999999999998,5,210.0
220.0,-0.2200000000000002,5,235.0
225.0,-0.25,5,260.0
230.0,-0.25,5,285.0
235.0,-0.25,5,310.0
240.0,-0.25,5,335.0
245.0,-0.25,7,367.0
250.0,-0.31999999999999984,7,402.0
255.0,-0.34999999999999964,8,441.0
260.0,-0.39000000000000057,8,481.0
265.0,-0.39999999999999947,8,521.0
270.0,-0.40000000000000036,6,530.0
275.0,-0.20999999999999996,7,564.0
280.0,-0.17999999999999972,7,567.0
285.0,-0.17999999999999972,6,589.0
290.0,-0.35000000000000053,6,587.0
295.0,-0.09999999999999964,6,617.0
300.0,-0.3100000000000005,7,650.0
305.0,-0.34999999999999964,7,685.0
310.0,-0.34999999999999964,7,720.0
315.0,-0.35000000000000053,7,755.0
320.0,-0.35000000000000053,8,794.0
325.0,-0.5300000000000002,7,621.0
330.0,1.62,4,485.0
335.0,2.7700000000000005,4,368.0
340.0,0.13999999999999968,6,347.0
345.0,0.13999999999999968,6,245.0
350.0,0.9100000000000001,5,117.0
355.0,1.28,6,130.0
360.0,-0.1100000000000001,7,161.0
365.0,-0.34999999999999987,7,196.0
370.0,-0.34999999999999987,7,231.0
375.0,-0.3500000000000001,7,266.0
380.0,-0.3500000000000001,7,301.0
385.0,-0.3500000000000001,7,336.0
390.0,-0.3500000000000001,11,382.0
395.0,-0.5,11,437.0
400.0,-0.5500000000000003,11,492.0
405.0,-0.5499999999999998,11,475.0
410.0,-0.009999999999999787,11,526.0
415.0,-0.009999999999999787,14,591.0
420.0,-0.8700000000000001,13,566.0
425.0,0.020000000000000462,13,626.0
430.0,-0.9199999999999999,16,697.0
435.0,-0.9199999999999999,14,688.0
440.0,-0.20000000000000018,14,749.0
445.0,-0.9400000000000004,16,827.0
450.0,-0.9400000000000004,13,850.0
455.0,-0.5499999999999998,17,923.0
460.0,-1.0700000000000003,16,1007.0
465.0,-0.5700000000000003,16,990.0
470.0,-0.03999999999999915,16,1034.0
475.0,-0.03999999999999915,19,1123.0
480.0,-1.2400000000000002,20,1213.0
485.0,-1.3399999999999999,22,1319.0
490.0,-1.3399999999999999,20,1414.0
495.0,-1.3800000000000008,24,1509.0
500.0,-1.4399999999999995,26,1636.0
505.0,-0.16000000000000014,22,1596.0
510.0,-0.16000000000000014,20,1521.0
515.0,0.34999999999999964,16,1579.0
520.0,-0.8999999999999986,19,1665.0
525.0,-0.8999999999999986,21,1617.0
530.0,0.11999999999999744,23,1505.0
535.0,1.120000000000001,21,1481.0
540.0,0.2400000000000002,20,1500.0
545.0,-0.1899999999999995,22,1528.0
550.0,-0.27999999999999936,23,1603.0
555.0,-0.7500000000000018,25,1703.0
560.0,-1.0,25,1826.0
565.0,-1.2300000000000004,28,1962.0
570.0,-1.3599999999999994,27,1891.0
575.0,0.1700000000000017,26,2026.0
580.0,-1.0100000000000016,25,2071.0
585.0,-0.07000000000000028,20,2073.0
590.0,-0.07000000000000028,20,1977.0
595.0,0.5500000000000007,22,1751.0
600.0,2.240000000000002,22,1712.0
605.0,1.8999999999999986,21,1418.0
610.0,1.4499999999999993,22,1316.0
615.0,1.0099999999999998,22,1265.0
620.0,1.2200000000000006,25,1221.0
625.0,-0.3100000000000005,27,1305.0
630.0,-0.8499999999999996,28,1431.0
635.0,-1.2699999999999996,29,1491.0
640.0,-1.1500000000000004,25,1545.0
645.0,0.370000000000001,23,1509.0
650.0,0.1399999999999988,22,1567.0
655.0,0.1399999999999988,23,1658.0
660.0,-1.3499999999999979,26,1766.0
665.0,-1.0800000000000018,30,1910.0
670.0,-1.4400000000000013,33,2072.0
675.0,-1.6199999999999974,34,2240.0
680.0,-1.6799999999999997,35,2415.0
685.0,-1.75,36,2593.0
690.0,-1.7800000000000011,34,2680.0
695.0,-1.5300000000000011,32,2751.0
700.0,0.21000000000000085,29,2815.0
705.0,-2.0700000000000003,31,2963.0
710.0,-1.6000000000000014,36,3128.0
715.0,-1.8699999999999974,40,3319.0
