step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,1,1.0
105.0,-0.01,0,0.0
110.0,0.01,0,0.0
115.0,0.0,0,0.0
120.0,0.0,0,0.0
125.0,0.0,0,0.0
130.0,0.0,0,0.0
135.0,0.0,0,0.0
140.0,0.0,0,0.0
145.0,0.0,2,3.0
150.0,-0.09,2,13.0
155.0,-0.09,3,24.0
160.0,-0.15,3,39.0
165.0,-0.15000000000000002,2,44.0
170.0,-0.12,4,62.0
175.0,-0.18999999999999995,3,81.0
180.0,-0.14,3,87.0
185.0,-0.15000000000000002,3,102.0
190.0,-0.1499999999999999,3,117.0
195.0,-0.1499999999999999,3,132.0
200.0,-0.2100000000000002,3,147.0
205.0,-0.1499999999999999,3,162.0
210.0,-0.1499999999999999,3,137.0
215.0,0.18999999999999995,3,151.0
220.0,-0.14000000000000012,3,166.0
225.0,-0.1499999999999999,3,181.0
230.0,-0.1499999999999999,1,105.0
235.0,0.7,3,33.0
240.0,0.72,2,15.0
245.0,0.14,3,26.0
250.0,-0.13,3,41.0
255.0,-0.21000000000000002,3,56.0
260.0,-0.15000000000000002,3,71.0
265.0,-0.15000000000000002,1,50.0
270.0,0.17000000000000004,1,37.0
275.0,0.12,1,5.0
280.0,0.31,1,6.0
285.0,-0.009999999999999995,1,11.0
290.0,-0.009999999999999995,2,19.0
295.0,-0.1,2,29.0
300.0,-0.09999999999999998,4,45.0
305.0,-0.16000000000000003,2,32.0
310.0,0.09000000000000002,3,35.0
315.0,-0.07,4,56.0
320.0,-0.09000000000000002,2,48.0
325.0,0.020000000000000018,2,52.0
330.0,0.020000000000000018,5,70.0
335.0,-0.25,6,97.0
340.0,-0.28,5,115.0
345.0,-0.21999999999999997,3,121.0
350.0,-0.010000000000000009,4,134.0
355.0,-0.010000000000000009,5,159.0
360.0,-0.33000000000000007,6,186.0
365.0,-0.27,7,204.0
370.0,-0.32000000000000006,8,240.0
375.0,-0.3799999999999999,11,284.0
380.0,-0.5,10,338.0
385.0,-0.5899999999999999,11,369.0
390.0,-0.5100000000000002,12,428.0
395.0,-0.5100000000000002,12,481.0
400.0,-0.7699999999999996,12,541.0
405.0,-0.6000000000000005,13,605.0
410.0,-0.6600000000000001,13,666.0
415.0,-0.8899999999999997,14,736.0
420.0,-0.7000000000000002,15,808.0
425.0,-0.7000000000000002,15,883.0
430.0,-1.0499999999999998,15,958.0
435.0,-0.75,17,1040.0
440.0,-0.8200000000000003,18,1128.0
445.0,-1.2400000000000002,19,1221.0
450.0,-0.9499999999999993,19,1316.0
455.0,-0.9499999999999993,19,1412.0
460.0,-1.200000000000001,19,1491.0
465.0,-0.9499999999999993,21,1590.0
470.0,-0.9499999999999993,21,1685.0
475.0,-1.3699999999999992,21,1789.0
480.0,-1.0500000000000007,23,1901.0
485.0,-1.129999999999999,23,2000.0
490.0,-1.4800000000000004,25,2122.0
495.0,-1.25,26,2249.0
500.0,-1.3000000000000007,26,2379.0
505.0,-1.3000000000000007,23,2286.0
510.0,0.41000000000000014,19,2046.0
515.0,2.3999999999999986,16,2104.0
520.0,-0.9100000000000001,17,2169.0
525.0,-0.5799999999999983,22,2257.0
530.0,-1.1000000000000014,27,2384.0
535.0,-1.379999999999999,32,2538.0
540.0,-1.620000000000001,35,2709.0
545.0,-1.7399999999999984,36,2887.0
550.0,-2.1099999999999994,32,2993.0
555.0,-1.1300000000000026,34,3137.0
560.0,-1.1300000000000026,35,3298.0
565.0,-2.3100000000000023,38,3485.0
570.0,-1.8899999999999935,38,3675.0
575.0,-1.9000000000000057,37,3825.0
580.0,-2.1899999999999977,36,3966.0
585.0,-1.1000000000000014,39,4119.0
590.0,-1.1000000000000014,42,4321.0
595.0,-2.789999999999999,42,4531.0
600.0,-2.1000000000000014,39,4709.0
605.0,-2.559999999999995,39,4893.0
610.0,-1.730000000000004,39,5077.0
615.0,-2.799999999999997,42,5282.0
620.0,-2.1799999999999997,47,5505.0
625.0,-2.3999999999999986,49,5747.0
630.0,-2.490000000000002,51,5998.0
635.0,-2.5900000000000034,54,6260.0
640.0,-2.700000000000003,54,6530.0
645.0,-2.759999999999991,56,6808.0
650.0,-2.8400000000000034,57,7093.0
655.0,-2.9000000000000057,59,7385.0
660.0,-2.9000000000000057,56,7628.0
665.0,-3.569999999999993,52,7807.0
670.0,-1.7600000000000051,54,8031.0
675.0,-1.8499999999999943,53,8251.0
680.0,-3.680000000000007,55,8516.0
685.0,-2.739999999999995,59,8803.0
690.0,-2.9399999999999977,59,9098.0
695.0,-2.9399999999999977,55,9334.0
700.0,-3.5400000000000063,56,9539.0
705.0,-2.049999999999997,56,9806.0
710.0,-3.819999999999993,60,10099.0
715.0,-2.980000000000004,61,10402.0
720.0,-3.0600000000000023,62,10711.0
725.0,-3.0999999999999943,61,11020.0
730.0,-3.8500000000000085,58,11246.0
