step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,0.0,1,3.0
120.0,-0.03,1,8.0
125.0,-0.07,1,13.0
130.0,-0.04999999999999999,1,18.0
135.0,-0.07,1,23.0
140.0,-0.05000000000000002,1,28.0
145.0,-0.05000000000000002,0,0.0
150.0,0.27,0,0.0
155.0,0.0,0,0.0
160.0,0.0,0,0.0
165.0,0.0,0,0.0
170.0,0.0,0,0.0
175.0,0.0,0,0.0
180.0,0.0,0,0.0
185.0,0.0,0,0.0
190.0,0.0,1,3.0
195.0,-0.05,1,8.0
200.0,-0.08,2,15.0
205.0,-0.1,2,25.0
210.0,-0.1,0,9.0
215.0,0.14,0,0.0
220.0,0.09,0,0.0
225.0,0.0,0,0.0
230.0,0.0,0,0.0
235.0,0.0,0,0.0
240.0,0.0,0,0.0
245.0,0.0,1,1.0
250.0,-0.03,1,6.0
255.0,-0.05,2,14.0
260.0,-0.14,2,24.0
265.0,-0.1,2,34.0
270.0,-0.1,2,44.0
275.0,-0.14,3,58.0
280.0,-0.14999999999999997,3,73.0
285.0,-0.15000000000000002,2,76.0
290.0,-0.05999999999999994,2,84.0
295.0,-0.08000000000000007,2,94.0
300.0,-0.08000000000000007,2,104.0
305.0,-0.14,2,114.0
310.0,-0.09999999999999987,0,56.0
315.0,0.5799999999999998,0,0.0
320.0,0.56,1,3.0
325.0,-0.07,2,9.0
330.0,-0.10999999999999999,3,21.0
335.0,-0.10999999999999999,3,32.0
340.0,-0.16999999999999998,4,48.0
345.0,-0.17000000000000004,3,57.0
350.0,-0.14,3,72.0
355.0,-0.15000000000000002,4,89.0
360.0,-0.15000000000000002,5,112.0
365.0,-0.31000000000000005,5,137.0
370.0,-0.25,4,149.0
375.0,-0.19999999999999996,4,169.0
380.0,-0.19999999999999996,4,189.0
385.0,-0.2799999999999998,4,209.0
390.0,-0.26000000000000023,7,238.0
395.0,-0.26000000000000023,4,197.0
400.0,0.30000000000000027,5,173.0
405.0,0.22999999999999976,6,201.0
410.0,-0.2899999999999998,6,231.0
415.0,-0.45999999999999996,8,269.0
420.0,-0.40000000000000036,9,310.0
425.0,-0.43999999999999995,10,356.0
430.0,-0.43999999999999995,5,283.0
435.0,0.54,5,178.0
440.0,1.05,5,180.0
445.0,-0.11999999999999988,4,176.0
450.0,0.26,4,177.0
455.0,-0.3600000000000001,7,207.0
460.0,-0.3500000000000001,7,242.0
465.0,-0.3599999999999999,8,279.0
470.0,-0.3599999999999999,7,248.0
475.0,0.1499999999999999,9,175.0
480.0,0.72,9,176.0
485.0,-0.17999999999999994,10,182.0
490.0,0.07000000000000006,10,200.0
495.0,-0.3699999999999999,12,256.0
500.0,-0.3699999999999999,9,289.0
505.0,-0.5700000000000003,10,319.0
510.0,-0.2999999999999998,10,337.0
515.0,-0.3999999999999999,13,371.0
520.0,-0.22999999999999998,15,427.0
525.0,-0.8300000000000005,14,466.0
530.0,-0.5699999999999994,16,538.0
535.0,-0.5699999999999994,14,588.0
540.0,-0.79,13,605.0
545.0,-0.16999999999999993,14,660.0
550.0,-0.8900000000000006,17,741.0
555.0,-0.8799999999999999,18,831.0
560.0,-0.9099999999999993,19,924.0
565.0,-0.9099999999999993,18,975.0
570.0,-0.8900000000000006,19,1001.0
575.0,-0.2599999999999998,22,1087.0
580.0,-0.8599999999999994,24,1193.0
585.0,-1.5600000000000005,25,1317.0
590.0,-1.25,27,1450.0
595.0,-1.700000000000001,26,1554.0
600.0,-1.1899999999999995,27,1684.0
605.0,-1.3500000000000014,27,1819.0
610.0,-1.3500000000000014,26,1938.0
615.0,-1.7199999999999989,28,2061.0
620.0,-1.25,30,2205.0
625.0,-1.4600000000000009,31,2359.0
630.0,-1.5499999999999972,32,2518.0
635.0,-2.270000000000003,35,2686.0
640.0,-1.75,38,2866.0
645.0,-1.879999999999999,38,3056.0
650.0,-1.879999999999999,36,3224.0
655.0,-2.4400000000000013,38,3399.0
660.0,-1.75,40,3593.0
665.0,-1.9399999999999977,39,3780.0
670.0,-2.6600000000000037,41,3982.0
675.0,-2.059999999999995,42,4191.0
680.0,-2.940000000000005,42,4401.0
685.0,-2.0999999999999943,43,4612.0
690.0,-2.0999999999999943,45,4832.0
695.0,-3.0800000000000054,46,5058.0
700.0,-2.269999999999996,47,5291.0
705.0,-2.3400000000000034,48,5527.0
710.0,-3.3599999999999994,49,5772.0
715.0,-2.479999999999997,50,6022.0
720.0,-2.530000000000001,52,6279.0
725.0,-2.530000000000001,52,6532.0
730.0,-3.569999999999993,52,6792.0
735.0,-2.6000000000000085,52,7052.0
740.0,-2.5999999999999943,50,7092.0
745.0,-1.3700000000000045,46,7113.0
750.0,1.6500000000000057,41,7150.0
755.0,-2.75,41,7339.0
760.0,-2.0200000000000102,43,7544.0
