step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,0.0,0,0.0
80.0,0.0,0,0.0
85.0,0.0,0,0.0
90.0,0.0,0,0.0
95.0,0.0,0,0.0
100.0,0.0,0,0.0
105.0,0.0,0,0.0
110.0,0.0,0,0.0
115.0,0.0,1,4.0
120.0,-0.04,1,9.0
125.0,-0.07,1,14.0
130.0,-0.05,1,19.0
135.0,-0.04999999999999999,1,24.0
140.0,-0.07000000000000003,1,29.0
145.0,-0.04999999999999999,1,34.0
150.0,-0.04999999999999999,1,39.0
155.0,-0.07,1,44.0
160.0,-0.04999999999999999,1,49.0
165.0,-0.04999999999999999,0,0.0
170.0,0.5,0,0.0
175.0,0.0,0,0.0
180.0,0.0,0,0.0
185.0,0.0,0,0.0
190.0,0.0,1,4.0
195.0,-0.06,1,9.0
200.0,-0.05,1,15.0
205.0,0.09,0,0.0
210.0,0.02,0,0.0
215.0,0.02,0,0.0
220.0,-0.01,1,5.0
225.0,-0.049999999999999996,1,10.0
230.0,-0.05,0,0.0
235.0,0.11,0,0.0
240.0,0.0,0,0.0
245.0,0.0,1,5.0
250.0,-0.05,1,10.0
255.0,-0.05,2,18.0
260.0,-0.12,2,28.0
265.0,-0.1,2,38.0
270.0,-0.14,2,48.0
275.0,-0.10000000000000003,2,58.0
280.0,-0.10000000000000003,2,68.0
285.0,-0.1499999999999999,3,83.0
290.0,-0.15000000000000002,3,98.0
295.0,-0.15000000000000002,1,57.0
300.0,0.41000000000000003,1,20.0
305.0,0.36,2,28.0
310.0,0.36,1,30.0
315.0,-0.06,1,35.0
320.0,-0.04999999999999999,2,44.0
325.0,-0.13,3,55.0
330.0,-0.15000000000000002,3,74.0
335.0,-0.19999999999999996,5,88.0
340.0,-0.2500000000000001,5,113.0
345.0,-0.2500000000000001,4,125.0
350.0,-0.20999999999999996,4,145.0
355.0,-0.19999999999999996,5,167.0
360.0,-0.33000000000000007,6,193.0
365.0,-0.2899999999999998,6,223.0
370.0,-0.2899999999999998,4,204.0
375.0,0.06999999999999984,4,211.0
380.0,-0.06999999999999984,3,210.0
385.0,-0.050000000000000266,3,225.0
390.0,-0.1499999999999999,3,240.0
395.0,-0.2599999999999998,5,262.0
400.0,-0.25,6,288.0
405.0,-0.25,7,320.0
410.0,-0.4500000000000002,8,357.0
415.0,-0.3799999999999999,7,391.0
420.0,-0.4700000000000002,7,425.0
425.0,-0.33999999999999986,7,460.0
430.0,-0.34999999999999964,7,495.0
435.0,-0.34999999999999964,8,533.0
440.0,-0.5200000000000005,9,578.0
445.0,-0.4500000000000002,6,455.0
450.0,1.1400000000000006,3,347.0
455.0,2.2099999999999995,3,252.0
460.0,-0.10999999999999988,7,261.0
465.0,-0.3900000000000001,8,301.0
470.0,-0.44999999999999973,11,349.0
475.0,-0.44999999999999973,11,381.0
480.0,-0.54,11,419.0
485.0,-0.3799999999999999,13,477.0
490.0,-0.8600000000000003,13,542.0
495.0,-0.6600000000000001,15,611.0
500.0,-0.75,16,689.0
505.0,-0.8099999999999996,17,772.0
510.0,-0.8899999999999997,20,867.0
515.0,-0.8899999999999997,17,932.0
520.0,-1.0500000000000007,17,982.0
525.0,-0.5,18,1062.0
530.0,-1.1799999999999997,22,1162.0
535.0,-1.0600000000000005,23,1273.0
540.0,-1.129999999999999,24,1391.0
545.0,-1.2200000000000006,26,1517.0
550.0,-1.2899999999999991,27,1651.0
555.0,-1.3500000000000014,27,1786.0
560.0,-1.3499999999999979,28,1925.0
565.0,-1.4400000000000013,25,1964.0
570.0,-0.4200000000000017,27,2053.0
575.0,-0.4200000000000017,32,2196.0
580.0,-2.0299999999999976,35,2368.0
585.0,-1.75,37,2552.0
590.0,-1.8500000000000014,37,2687.0
595.0,-2.030000000000001,33,2808.0
600.0,-0.7699999999999996,34,2937.0
605.0,-0.7699999999999996,36,3104.0
610.0,-2.349999999999998,38,3287.0
615.0,-1.8299999999999983,41,3486.0
620.0,-1.990000000000002,42,3695.0
625.0,-2.0900000000000034,44,3913.0
630.0,-2.1799999999999997,44,4133.0
635.0,-2.1999999999999957,46,4363.0
640.0,-2.3000000000000043,48,4599.0
645.0,-2.3599999999999994,47,4774.0
650.0,-2.6599999999999966,43,4936.0
655.0,-1.0600000000000023,44,5103.0
660.0,-3.1799999999999997,49,5338.0
665.0,-2.519999999999996,51,5592.0
670.0,-2.5700000000000003,52,5850.0
675.0,-2.5700000000000003,49,6041.0
680.0,-2.9200000000000017,49,6203.0
685.0,-1.6200000000000045,51,6454.0
690.0,-3.5899999999999963,53,6717.0
695.0,-2.700000000000003,55,6991.0
700.0,-2.780000000000001,57,7273.0
705.0,-2.780000000000001,54,7510.0
710.0,-3.509999999999991,57,7773.0
715.0,-2.6300000000000097,59,8062.0
720.0,-4.069999999999993,60,8358.0
725.0,-2.980000000000004,60,8659.0
730.0,-4.099999999999994,60,8946.0
735.0,-2.980000000000004,60,9246.0
740.0,-2.980000000000004,59,9531.0
745.0,-4.040000000000006,59,9826.0
